master_protein	dosage	replicate	sample_id	Light	Heavy	Ratio
P14866	150	1	150_1	23.0343326297395	20.8481171699309	2.1862154598086
P14868	150	1	150_1	23.4832539694922	19.7641557893312	3.71909818016098
P15531	150	1	150_1	23.8093128192732	18.1897859588602	5.61952686041299
P15586	150	1	150_1	26.9553848120363	24.1696560448489	2.78572876718745
P15880	150	1	150_1	23.3258023539094	20.2504723786601	3.07532997524929
P16070	150	1	150_1	26.3678375817289	23.4602266169362	2.90761096479266
P16989	150	1	150_1	22.5536449174047	21.6107366492153	0.942908268189402
P17480	150	1	150_1	25.9869540871456	22.8859610238507	3.10099306329489
P17655	150	1	150_1	25.2276588320081	21.5054277909001	3.72223104110801
P17812	150	1	150_1	22.5261171188745	19.3876387301055	3.13847838876904
P17980	150	1	150_1	23.2196701442001	21.1042947757595	2.11537536844062
P17987	150	1	150_1	26.1522854613231	21.1518985242037	5.00038693711936
P18124	150	1	150_1	25.2468270961931	22.6851403110642	2.56168678512888
P18433	150	1	150_1	24.0266490612256	19.7964579337939	4.23019112743166
P18583	150	1	150_1	22.8442894591942	20.3582873011605	2.48600215803371
P18754	150	1	150_1	19.8598441309361	16.5576431896493	3.30220094128685
P18827	150	1	150_1	25.7907001434355	22.7921550847861	2.99854505864948
P19022	150	1	150_1	23.590351303337	19.3675171341847	4.22283416915229
P19338	150	1	150_1	27.4290474153763	24.1812006121161	3.24784680326014
P19634	150	1	150_1	23.9324699720657	18.5679263753601	5.36454359670564
P20042	150	1	150_1	22.1891826993737	19.103287808412	3.08589489096169
P20645	150	1	150_1	25.8829698609985	22.9590765261506	2.92389333484785
P20700	150	1	150_1	24.4844385776547	21.6113473237867	2.87309125386807
P21291	150	1	150_1	24.0534128672005	21.2343262849622	2.81908658223834
P21333	150	1	150_1	25.4023533777803	21.8760701581142	3.52628321966608
P21399	150	1	150_1	21.8113871456314	18.9866084291454	2.82477871648592
P21980	150	1	150_1	22.3497585172699	19.7106181221616	2.63914039510831
P22087	150	1	150_1	25.008384166375	23.6562188410571	1.35216532531787
P22234	150	1	150_1	21.3163503543197	18.2519457329257	3.06440462139404
P22314	150	1	150_1	24.3429172464699	20.5434481621414	3.79946908432854
P22626	150	1	150_1	25.2730928580861	23.6403515864631	1.632741271623
P23246	150	1	150_1	24.3634826536976	22.6749108752279	1.68857177846964
P23396	150	1	150_1	23.7431224458876	21.198453531193	2.54466891469463
P23470	150	1	150_1	23.755586911202	20.5634869102431	3.1921000009588
P23526	150	1	150_1	23.9281551366101	20.413694725619	3.5144604109911
P24821	150	1	150_1	21.3302338842135	19.5887341658406	1.74149971837289
P25205	150	1	150_1	21.4646334911938	19.1575837857272	2.30704970546665
P25445	150	1	150_1	27.8215287689828	24.4368243702563	3.38470439872648
P25705	150	1	150_1	25.5955783572329	22.3936651366862	3.2019132205467
P26006	150	1	150_1	25.15691083524	21.5170862755843	3.63982455965576
P26038	150	1	150_1	23.2314153670116	20.8597228141829	2.3716925528287
P26368	150	1	150_1	23.7943706714172	21.7112704328376	2.08310023857959
P26373	150	1	150_1	26.9459774478188	24.6600005908769	2.28597685694184
P26583	150	1	150_1	25.1832876619301	21.4536243184851	3.72966334344499
P26639	150	1	150_1	23.4182031480054	20.8292955819272	2.58890756607822
P26640	150	1	150_1	22.3448971745158	18.9643445831466	3.38055259136923
P26641	150	1	150_1	25.0524252735302	22.6760529052723	2.37637236825786
P27348	150	1	150_1	25.5374184365192	22.1506596275704	3.38675880894878
P27635	150	1	150_1	26.9090799993193	23.2005782344369	3.70850176488234
P27694	150	1	150_1	20.9163401817096	17.9680367363935	2.94830344531614
P27708	150	1	150_1	24.0172499519995	20.8112665911905	3.20598336080902
P27797	150	1	150_1	25.8156780206834	23.0519205096894	2.76375751099401
P27824	150	1	150_1	21.7670884707111	18.8584788760771	2.90860959463405
P28066	150	1	150_1	22.6960421203168	18.0795264507113	4.61651566960557
P29317	150	1	150_1	23.1988047111366	21.0385868192063	2.16021789193029
P29401	150	1	150_1	24.4717974733752	22.1887924814421	2.2830049919331
P29692	150	1	150_1	23.8794080550391	20.7854161567873	3.09399189825181
P30041	150	1	150_1	23.4232604077581	20.9855016125115	2.43775879524661
P30043	150	1	150_1	18.7747484595813	17.7233409736015	1.05140748597981
P30044	150	1	150_1	22.0111567772912	18.5344920176348	3.47666475965647
P30050	150	1	150_1	23.2001526744185	18.1718218309087	5.02833084350977
P30101	150	1	150_1	25.1197042207941	22.3110964656865	2.80860775510759
P30153	150	1	150_1	22.8202882639697	20.1615086566821	2.65877960728763
P30414	150	1	150_1	25.2852225170215	20.5342365438716	4.75098597314991
P30876	150	1	150_1	24.5486319132124	21.1250249350738	3.42360697813859
P31431	150	1	150_1	25.073164847708	22.3852178353675	2.68794701234053
P31483	150	1	150_1	20.9031581048542	17.6868834733693	3.21627463148496
P31939	150	1	150_1	23.718164931215	19.0986695382873	4.61949539292773
P31942	150	1	150_1	25.4188503410054	24.319454549385	1.09939579162034
P31946	150	1	150_1	23.2707059542438	20.0808279348238	3.18987801941996
P31948	150	1	150_1	22.9008726221334	19.8751573104966	3.02571531163689
P32004	150	1	150_1	25.8995770804092	21.1318690730213	4.76770800738797
P32322	150	1	150_1	24.7522581298834	19.6727982330971	5.07945989678625
P32969	150	1	150_1	24.0061443085562	20.3297403583885	3.67640395016772
P33991	150	1	150_1	24.5219310577879	21.2927754595629	3.22915559822502
P33992	150	1	150_1	23.429819436852	19.0396580611645	4.39016137568753
P33993	150	1	150_1	21.6261805756621	18.8688776585294	2.75730291713272
P34897	150	1	150_1	25.6543972670516	20.3500995797487	5.30429768730291
P34932	150	1	150_1	25.4082742759924	21.2905273951565	4.11774688083585
P35052	150	1	150_1	25.7829597436175	22.1909058896833	3.59205385393416
