GeneName	Description	Species	PE	SV
PCBP2	Poly(rC)-binding protein 2 (Fragment)	Homo sapiens	1	2
PABPN1	Polyadenylate-binding protein 2	Homo sapiens	1	3
HSPA9	"Stress-70 protein, mitochondrial"	Homo sapiens	1	2
ENO1	Alpha-enolase	Homo sapiens	1	2
HSPD1	"60 kDa heat shock protein, mitochondrial"	Homo sapiens	1	2
TBRG4	Protein TBRG4	Homo sapiens	1	1
BYSL	Bystin	Homo sapiens	1	3
HNRNPM	Heterogeneous nuclear ribonucleoprotein M	Homo sapiens	1	3
POLR1A	DNA-directed RNA polymerase I subunit RPA1	Homo sapiens	1	2
ZFR	Zinc finger RNA-binding protein	Homo sapiens	1	2
LOC102724159	Protein LOC102724159	Homo sapiens	1	1
YTHDF2	YTH domain-containing family protein 2	Homo sapiens	1	2
PRKDC	DNA-dependent protein kinase catalytic subunit	Homo sapiens	1	3
POP1	Ribonucleases P/MRP protein subunit POP1	Homo sapiens	1	2
EIF3A	Eukaryotic translation initiation factor 3 subunit A	Homo sapiens	1	1
EIF3C	Eukaryotic translation initiation factor 3 subunit C	Homo sapiens	1	1
RRP8	Ribosomal RNA-processing protein 8	Homo sapiens	1	2
RBM4	RNA-binding protein 4	Homo sapiens	1	1
RBMXL1	"RNA binding motif protein, X-linked-like-1"	Homo sapiens	1	1
PUF60	Poly(U)-binding-splicing factor PUF60	Homo sapiens	1	1
PTBP3	Polypyrimidine tract-binding protein 3	Homo sapiens	1	2
UTP23	rRNA-processing protein UTP23 homolog	Homo sapiens	1	2
TUBB	Tubulin beta chain	Homo sapiens	1	2
PKM	Pyruvate kinase PKM	Homo sapiens	1	4
USP36	Ubiquitin carboxyl-terminal hydrolase 36	Homo sapiens	1	3
RALY	RNA-binding protein Raly	Homo sapiens	1	1
LARP4B	La-related protein 4B	Homo sapiens	1	3
UBAP2L	Ubiquitin-associated protein 2-like	Homo sapiens	1	2
STAU2	Double-stranded RNA-binding protein Staufen homolog 2	Homo sapiens	1	1
PABPC1	Polyadenylate-binding protein 1	Homo sapiens	1	2
DHX9	ATP-dependent RNA helicase A	Homo sapiens	1	4
EXOSC10	Exosome component 10	Homo sapiens	1	2
HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2	Homo sapiens	1	1
RPL32	60S ribosomal protein L32	Homo sapiens	1	1
RAN	GTP-binding nuclear protein Ran (Fragment)	Homo sapiens	1	1
HIST1H2BN	Histone H2B	Homo sapiens	1	1
WDR36	WD repeat-containing protein 36	Homo sapiens	1	1
PNO1	RNA-binding protein PNO1	Homo sapiens	1	1
NONO	Non-POU domain-containing octamer-binding protein	Homo sapiens	1	4
KRR1	KRR1 small subunit processome component homolog	Homo sapiens	1	4
SDAD1	Protein SDA1 homolog	Homo sapiens	1	3
CHTOP	Chromatin target of PRMT1 protein	Homo sapiens	1	2
RPS15A	40S ribosomal protein S15a	Homo sapiens	1	2
SSB	Lupus La protein	Homo sapiens	1	2
RPS15	40S ribosomal protein S15	Homo sapiens	1	1
PATL1	Protein PAT1 homolog 1	Homo sapiens	1	2
RACK1	Receptor of activated protein C kinase 1	Homo sapiens	1	3
ZC3H11A	Zinc finger CCCH domain-containing protein 11A	Homo sapiens	1	3
XRN2	5'-3' exoribonuclease 2	Homo sapiens	1	1
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2 (Fragment)	Homo sapiens	1	1
EIF5B	Eukaryotic translation initiation factor 5B	Homo sapiens	1	1
SND1	Staphylococcal nuclease domain-containing protein 1	Homo sapiens	1	1
EIF3L	Eukaryotic translation initiation factor 3 subunit L	Homo sapiens	1	1
CLUH	Clustered mitochondria protein homolog	Homo sapiens	1	2
HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	Homo sapiens	1	1
KRT9	"Keratin, type I cytoskeletal 9"	Homo sapiens	1	3
PAPD5	Non-canonical poly(A) RNA polymerase PAPD5	Homo sapiens	1	1
RAVER1	Ribonucleoprotein PTB-binding 1	Homo sapiens	1	1
URB1	Nucleolar pre-ribosomal-associated protein 1	Homo sapiens	1	4
PRR11	Proline-rich protein 11	Homo sapiens	1	1
IFI16	Gamma-interferon-inducible protein 16	Homo sapiens	1	3
NOP9	Nucleolar protein 9	Homo sapiens	1	1
DDX51	ATP-dependent RNA helicase DDX51	Homo sapiens	1	3
TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	Homo sapiens	1	2
CKAP4	Cytoskeleton-associated protein 4	Homo sapiens	1	2
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	Homo sapiens	1	5
FBL	rRNA 2'-O-methyltransferase fibrillarin	Homo sapiens	1	2
RPS16	40S ribosomal protein S16	Homo sapiens	1	2
UBAP2	Ubiquitin-associated protein 2	Homo sapiens	1	1
FLNC	Filamin-C	Homo sapiens	1	3
YTHDC2	Probable ATP-dependent RNA helicase YTHDC2	Homo sapiens	1	2
ELAVL1	ELAV-like protein 1	Homo sapiens	1	2
KTN1	Kinectin	Homo sapiens	1	1
ZC3H4	Zinc finger CCCH domain-containing protein 4	Homo sapiens	1	3
RPSA	40S ribosomal protein SA	Homo sapiens	1	1
RPL27A	60S ribosomal protein L27a	Homo sapiens	1	2
FUS	RNA-binding protein FUS	Homo sapiens	1	1
EIF4H	Eukaryotic translation initiation factor 4H	Homo sapiens	1	5
TCOF1	Treacle protein	Homo sapiens	1	3
SRSF2	Serine/arginine-rich splicing factor 2	Homo sapiens	1	4
PTBP2	Polypyrimidine tract-binding protein 2	Homo sapiens	1	1
CCDC137	Coiled-coil domain-containing protein 137 (Fragment)	Homo sapiens	1	1
SRSF5	Serine/arginine-rich splicing factor 5	Homo sapiens	1	1
TARDBP	TAR DNA-binding protein 43	Homo sapiens	1	1
RPL29	60S ribosomal protein L29	Homo sapiens	1	2
DDX3X	ATP-dependent RNA helicase DDX3X	Homo sapiens	1	1
TIA1	Nucleolysin TIA-1 isoform p40	Homo sapiens	1	3
