GeneName	Description	Species	PE	SV
VARS	Valine--tRNA ligase	Homo sapiens	1	4
C7orf50	Uncharacterized protein C7orf50	Homo sapiens	1	1
DHX29	ATP-dependent RNA helicase DHX29	Homo sapiens	1	1
TNRC6B	Trinucleotide repeat-containing gene 6B protein	Homo sapiens	1	4
RPL7L1	60S ribosomal protein L7-like 1	Homo sapiens	1	1
ANKRD17	Ankyrin repeat domain-containing protein 17	Homo sapiens	1	3
RRS1	Ribosome biogenesis regulatory protein homolog	Homo sapiens	1	2
DDX24	ATP-dependent RNA helicase DDX24	Homo sapiens	1	1
ELAVL2	ELAV-like protein	Homo sapiens	1	1
RPL6	60S ribosomal protein L6	Homo sapiens	1	3
CSDE1	Cold shock domain-containing protein E1	Homo sapiens	1	2
G3BP2	Ras GTPase-activating protein-binding protein 2	Homo sapiens	1	2
DHX57	Putative ATP-dependent RNA helicase DHX57	Homo sapiens	1	2
SLTM	SAFB-like transcription modulator	Homo sapiens	1	2
PPRC1	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1	Homo sapiens	1	1
HSPA1B	Heat shock 70 kDa protein 1B	Homo sapiens	1	1
RPL35	60S ribosomal protein L35	Homo sapiens	1	2
SRSF7	Serine/arginine-rich splicing factor 7	Homo sapiens	1	1
RPS20	40S ribosomal protein S20	Homo sapiens	1	1
RAB34	"Ras-related protein Rab-34, isoform NARR"	Homo sapiens	1	1
DDX47	Probable ATP-dependent RNA helicase DDX47	Homo sapiens	1	1
RPL34	60S ribosomal protein L34	Homo sapiens	1	3
NSUN2	tRNA (cytosine(34)-C(5))-methyltransferase	Homo sapiens	1	2
RBM14	RNA-binding protein 14	Homo sapiens	1	2
CAPRIN1	Caprin-1	Homo sapiens	1	2
PCBP4	Poly(rC)-binding protein 4	Homo sapiens	2	1
EIF4B	Eukaryotic translation initiation factor 4B	Homo sapiens	1	1
RPS17	40S ribosomal protein S17	Homo sapiens	1	1
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	Homo sapiens	1	1
HNRNPR	Heterogeneous nuclear ribonucleoprotein R	Homo sapiens	1	1
SNRPD1	Small nuclear ribonucleoprotein Sm D1	Homo sapiens	1	1
EMG1	Ribosomal RNA small subunit methyltransferase NEP1	Homo sapiens	1	4
DDX43	Probable ATP-dependent RNA helicase DDX43	Homo sapiens	2	2
RPL28	60S ribosomal protein L28	Homo sapiens	1	1
SNRPD2	Small nuclear ribonucleoprotein Sm D2	Homo sapiens	1	1
RPS13	40S ribosomal protein S13	Homo sapiens	1	2
RRP9	U3 small nucleolar RNA-interacting protein 2	Homo sapiens	1	1
RBMX	"RNA-binding motif protein, X chromosome"	Homo sapiens	1	3
SHMT2	"Serine hydroxymethyltransferase, mitochondrial"	Homo sapiens	1	3
ZCCHC6	Terminal uridylyltransferase 7	Homo sapiens	1	1
RPL36	60S ribosomal protein L36	Homo sapiens	1	3
FLNA	Filamin-A	Homo sapiens	1	4
RPL8	60S ribosomal protein L8	Homo sapiens	1	2
RPS8	40S ribosomal protein S8	Homo sapiens	1	2
RBM38	RNA-binding protein 38	Homo sapiens	1	2
NOL8	Nucleolar protein 8	Homo sapiens	1	1
GOLT1B	Vesicle transport protein GOT1B	Homo sapiens	1	1
SNRPE	Small nuclear ribonucleoprotein E	Homo sapiens	1	1
HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	Homo sapiens	1	1
KRT10	"Keratin, type I cytoskeletal 10"	Homo sapiens	1	6
1	Trypsin	Sus scrofa	1	
PDCD11	Protein RRP5 homolog	Homo sapiens	1	3
RPS24	40S ribosomal protein S24	Homo sapiens	1	1
EIF3D	Eukaryotic translation initiation factor 3 subunit D	Homo sapiens	1	1
RPS27A	Ubiquitin-40S ribosomal protein S27a	Homo sapiens	1	2
KRT1	"Keratin, type II cytoskeletal 1"	Homo sapiens	1	6
RPL4	60S ribosomal protein L4	Homo sapiens	1	5
ZNF326	DBIRD complex subunit ZNF326	Homo sapiens	1	2
MTDH	Protein LYRIC	Homo sapiens	1	2
RPS18	40S ribosomal protein S18	Homo sapiens	1	3
RPL27	60S ribosomal protein L27 (Fragment)	Homo sapiens	1	1
PSPC1	Paraspeckle component 1	Homo sapiens	1	1
CCDC59	Thyroid transcription factor 1-associated protein 26	Homo sapiens	1	2
SKIV2L2	Superkiller viralicidic activity 2-like 2	Homo sapiens	1	3
PUM2	Pumilio homolog 2	Homo sapiens	1	2
DHX36	ATP-dependent RNA helicase DHX36	Homo sapiens	1	2
SPATS2L	SPATS2-like protein	Homo sapiens	1	2
DDX27	Probable ATP-dependent RNA helicase DDX27	Homo sapiens	1	2
RPS6	40S ribosomal protein S6	Homo sapiens	1	1
SF3B1	Splicing factor 3B subunit 1	Homo sapiens	1	3
PLEC	Plectin	Homo sapiens	1	3
DAZAP1	DAZ-associated protein 1	Homo sapiens	1	1
ESF1	ESF1 homolog	Homo sapiens	1	1
DHX37	Probable ATP-dependent RNA helicase DHX37	Homo sapiens	1	1
RPL10	60S ribosomal protein L10	Homo sapiens	1	4
BRIX1	Ribosome biogenesis protein BRX1 homolog	Homo sapiens	1	2
ARHGEF40	Rho guanine nucleotide exchange factor 40	Homo sapiens	1	3
FUBP3	Far upstream element-binding protein 3	Homo sapiens	1	2
MRPL1	"39S ribosomal protein L1, mitochondrial"	Homo sapiens	1	2
MRPL37	"39S ribosomal protein L37, mitochondrial"	Homo sapiens	1	1
MOV10	Putative helicase MOV-10	Homo sapiens	1	2
RPUSD4	RNA pseudouridylate synthase domain-containing protein 4	Homo sapiens	1	1
RPF1	Ribosome production factor 1	Homo sapiens	1	2
UTP14A	U3 small nucleolar RNA-associated protein 14 homolog A	Homo sapiens	1	1
3	Histone H2A	Homo sapiens	1	
RPL23	60S ribosomal protein L23	Homo sapiens	1	1
GRSF1	G-rich sequence factor 1	Homo sapiens	1	3
DRG1	Developmentally-regulated GTP-binding protein 1	Homo sapiens	1	1
NOP16	Nucleolar protein 16	Homo sapiens	1	2
ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	Homo sapiens	1	1
NOC3L	Nucleolar complex protein 3 homolog	Homo sapiens	1	1
NOL11	Nucleolar protein 11	Homo sapiens	1	1
PARP12	Poly [ADP-ribose] polymerase 12	Homo sapiens	1	1
DDX54	ATP-dependent RNA helicase DDX54	Homo sapiens	1	2
ALDOA	Fructose-bisphosphate aldolase	Homo sapiens	1	1
SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein	Homo sapiens	1	2
AATF	Protein AATF	Homo sapiens	1	1
LARP7	La-related protein 7	Homo sapiens	1	1
PRRC2B	Protein PRRC2B	Homo sapiens	1	2
SLC25A5	ADP/ATP translocase 2	Homo sapiens	1	7
HSP90AB1	Heat shock protein HSP 90-beta	Homo sapiens	1	4
RBMS1	"RNA-binding motif, single-stranded-interacting protein 1"	Homo sapiens	1	3
UTP18	U3 small nucleolar RNA-associated protein 18 homolog	Homo sapiens	1	3
PTBP1	Polypyrimidine tract-binding protein 1	Homo sapiens	1	1
PABPC4	Polyadenylate-binding protein 4	Homo sapiens	1	1
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	Homo sapiens	1	1
WDR43	WD repeat-containing protein 43	Homo sapiens	1	3
KRT15	"Keratin, type I cytoskeletal 15"	Ovis aries	2	1
DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2	Homo sapiens	1	2
PRRC2C	Protein PRRC2C	Homo sapiens	1	4
FMR1	"Fragile X mental retardation 1, isoform CRA_e"	Homo sapiens	1	1
UTP20	Small subunit processome component 20 homolog	Homo sapiens	1	3
LSM14B	Protein LSM14 homolog B (Fragment)	Homo sapiens	1	1
CSTF2	Cleavage stimulation factor subunit 2	Homo sapiens	1	1
HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Homo sapiens	1	2
RRP1	Ribosomal RNA processing protein 1 homolog A	Homo sapiens	1	1
RPL19	60S ribosomal protein L19	Homo sapiens	1	1
TNPO1	Transportin-1	Homo sapiens	1	2
RBM15	Putative RNA-binding protein 15	Homo sapiens	1	2
RPS11	40S ribosomal protein S11	Homo sapiens	1	3
PWP2	Periodic tryptophan protein 2 homolog	Homo sapiens	2	2
FXR1	Fragile X mental retardation syndrome-related protein 1	Homo sapiens	1	3
SECISBP2	Selenocysteine insertion sequence-binding protein 2	Homo sapiens	1	2
DKC1	H/ACA ribonucleoprotein complex subunit 4	Homo sapiens	1	3
RPL18A	60S ribosomal protein L18a	Homo sapiens	1	2
WDR75	WD repeat-containing protein 75	Homo sapiens	1	1
DDX55	ATP-dependent RNA helicase DDX55	Homo sapiens	1	3
SUGP2	SURP and G-patch domain-containing protein 2	Homo sapiens	1	1
FAM98A	Protein FAM98A	Homo sapiens	1	1
PPAN-P2RY11	HCG2039996	Homo sapiens	3	1
PAICS	Multifunctional protein ADE2	Homo sapiens	1	3
MRPS18A	"28S ribosomal protein S18a, mitochondrial (Fragment)"	Homo sapiens	1	9
L1RE1	LINE-1 retrotransposable element ORF1 protein	Homo sapiens	1	1
USP10	Ubiquitin carboxyl-terminal hydrolase 10	Homo sapiens	1	2
UPF1	Regulator of nonsense transcripts 1	Homo sapiens	1	2
RSL1D1	Ribosomal L1 domain-containing protein 1	Homo sapiens	1	3
RPL18	60S ribosomal protein L18 (Fragment)	Homo sapiens	1	1
LRPPRC	"Leucine-rich PPR motif-containing protein, mitochondrial"	Homo sapiens	1	3
RPL31	60S ribosomal protein L31	Homo sapiens	1	1
MBNL1	Muscleblind-like protein 1	Homo sapiens	1	1
CLIC1	Chloride intracellular channel protein 1	Homo sapiens	1	4
FTSJ3	pre-rRNA processing protein FTSJ3	Homo sapiens	1	2
PARP1	Poly [ADP-ribose] polymerase 1	Homo sapiens	1	4
PRRC2A	Protein PRRC2A	Homo sapiens	1	3
AHNAK	Neuroblast differentiation-associated protein AHNAK	Homo sapiens	1	2
PCBP2	Poly(rC)-binding protein 2	Homo sapiens	1	1
