Entry
P04637
P35222
P10275
Q96EB6
O60260
P84022
Q09472
P03372
Q16665
Q04206
P15884
Q00613
P04150
P17861
Q04864
P40763
P06400
P46531
Q13485
P37231
P41221
O60341
Q9H3D4
P09429
P05412
P10276
Q9NY61
Q6ZN18
P51825
Q9UHB7
Q8IUX7
P35869
Q15699
P05549
Q92481
Q7Z591
Q9BXX3
Q9H161
P55197
O43918
Q8IVW6
Q14865
Q9HBZ2
Q6VUC0
Q99856
Q7Z6R9
Q92754
P29374
A6NKF2
P50553
P17544
P27540
P15336
Q92858
Q96SQ7
Q9Y2D1
Q99929
O14867
P18846
P18850
P18847
Q99941
Q96QS3
Q9NQ33
P18848
P20749
Q01954
Q9UMQ3
Q7RTS1
Q9C0J9
Q8N1L9
Q9H165
P36894
Q16520
Q9NY43
Q9HBU1
P41182
Q9BZE3
Q9C0K0
Q9NR55
Q8N143
O14503
O14981
Q8NFJ8
Q8WYA1
Q9BYV9
Q9H0E9
Q5T0F9
P78543
P41223
O00327
Q3C1V8
Q6P1N0
O75808
O15178
Q5XKL5
Q8N187
P49715
P49716
Q99459
P47902
Q9UFW8
Q03701
P17676
P22681
Q15744
Q92793
O14627
Q86X95
O15516
P53567
Q99626
Q99967
Q99966
Q9UFF9
Q9Y6Y1
P62633
Q9HAK2
P24468
O94983
Q9UIV1
Q9H4W6
O60519
Q9Y2W7
Q96BA8
Q8WYN3
O43889
Q68CJ9
Q96S65
P49711
Q70SY1
O43186
Q13363
Q9H175
Q8TEY5
P10589
P16220
Q03060
Q02930
Q8IUR6
Q9UI36
Q8NI51
Q96NX9
Q10586
O14529
O75398
Q92731
P15036
O00321
Q8N693
P50549
P41161
P14921
Q8TCP9
P0CF97
P11474
Q7L775
P41212
Q03112
P49640
P35638
Q92988
P56178
Q8NFW5
Q07687
P56179
Q9Y5R6
Q5VZB9
O94850
Q96MA1
Q9Y222
Q14209
Q9Y5R5
Q5HYR2
O60479
Q8IXT2
Q96SC8
Q01094
Q15329
Q96CJ1
Q9NQL9
Q66K89
Q96AV8
P18146
O75461
O00716
Q05215
P32519
Q99607
P19419
Q8WYP5
Q6PJG2
Q9NZC4
Q06889
Q16254
A0AVK6
O43812
Q99814
P11161
O95936
Q15723
Q9UKW6
P41970
P62508
P28324
P06733
P50548
P11308
P78545
P41162
O95718
Q6ZN32
P43268
Q9Y603
P15408
P01100
Q9Y261
Q8WXT5
Q12950
O00358
O43638
Q6VB84
Q96RJ6
P15407
Q13461
O75593
Q01167
O43524
Q8IVH2
Q16676
O60548
Q9UJU5
Q6ZQN5
O15353
Q96AE4
Q99581
Q8TBJ5
Q6QHK4
P55317
Q5VYV0
Q12948
Q9P0K8
P58012
O00409
A8MYZ6
Q12946
Q12951
Q9UPW0
Q01543
Q8IX07
Q12778
O15409
Q9BZS1
Q3SYB3
Q8WW38
Q96I24
A8MTJ6
Q08050
Q6PIV2
Q06546
P23769
Q5VV16
Q8TAK5
P15976
P43694
Q92908
O75603
Q06547
P53539
