 Description	Species	GeneName	PE	SV
Protein LOC102724159	Homo sapiens	LOC102724159	1	1
RNA-binding protein Raly	Homo sapiens	RALY	1	1
Polyadenylate-binding protein 1	Homo sapiens	PABPC1	1	2
ATP-dependent RNA helicase A	Homo sapiens	DHX9	1	4
Staphylococcal nuclease domain-containing protein 1	Homo sapiens	SND1	1	1
"CUG triplet repeat, RNA binding protein 1, isoform CRA_c"	Homo sapiens	CELF1	1	1
"Keratin, type I cytoskeletal 9"	Homo sapiens	KRT9	1	3
Heterogeneous nuclear ribonucleoprotein A1	Homo sapiens	HNRNPA1	1	5
rRNA 2'-O-methyltransferase fibrillarin	Homo sapiens	FBL	1	2
ELAV-like protein 1	Homo sapiens	ELAVL1	1	2
60S ribosomal protein L27a	Homo sapiens	RPL27A	1	2
Far upstream element-binding protein 1	Homo sapiens	FUBP1	1	1
ATP-dependent RNA helicase DDX3X	Homo sapiens	DDX3X	1	1
