Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
PTBP1_HUMAN	0.038384407	0.040110236	0.025870219	0.021690271	Up-Down-Down
DHX9_HUMAN	0.036702719	0.050021278	0.011772875	0.024424646	Up-Down-Down
CSDE1_HUMAN	0.034083671	0.034688646	0.022613028	0.020829485	Up-Down-Down
NONO_HUMAN	0.031554003	0.038529208	0.021937352	0.028311012	Up-Down-Down
PABP1_HUMAN	0.029902358	0.039638379	0.014732624	0.017585181	Up-Down-Down
RALY_HUMAN	0.029656752	0.031420372	0.019612883	0.025967262	Up-Down-Down
HNRPK_HUMAN	0.029269941	0.034257983	0.017207623	0.017704485	Up-Down-Down
PAIRB_HUMAN	0.027290822	0.0337211	0.016219834	0.024404762	Up-Down-Down
HNRPD_HUMAN	0.0272758	0.04172667	0.019789138	0.023583744	Up-Down-Down
ELAV1_HUMAN	0.026033499	0.028116691	0.011732479	0.022742842	Up-Down-Down
HNRH3_HUMAN	0.025244855	0.027686028	0.010461919	0.012427519	Up-Down-Down
FUBP1_HUMAN	0.023280757	0.024523972	0.012529342	0.015241431	Up-Down-Down
YBOX3_HUMAN	0.022945771	0.027113739	0.016935905	0.016903351	Up-Down-Down
DDX21_HUMAN	0.021844675	0.027609428	0.014056948	0.012917565	Up-Down-Down
RL5_HUMAN	0.021264083	0.025208267	0.018206465	0.017174672	Up-Down-Down
RL8_HUMAN	0.018756948	0.021544736	0.013799902	0.017585181	Up-Down-Down
PABP4_HUMAN	0.018667568	0.02739699	0.01286718	0.014460181	Up-Down-Down
FUBP3_HUMAN	0.018444495	0.020648003	0.006907287	0.010825251	Up-Down-Down
PCBP2_HUMAN	0.017797056	0.018028618	0.006352798	0.017234324	Up-Down-Down
TADBP_HUMAN	0.016852186	0.026966327	0.007582962	0.014009904	Up-Down-Down
DDX17_HUMAN	0.015684242	0.016878253	0.008651543	0.008852242	Up-Down-Down
TBB5_HUMAN	0.014396875	0.016518403	0.004527751	0.01357951	Up-Down-Down
ROA3_HUMAN	0.01415878	0.022588882	0.00516303	0.009262751	Up-Down-Down
U520_HUMAN	0.011391017	0.012353396	0.002284073	0.011195992	Up-Down-Down
PA2G4_HUMAN	0.010996695	0.013250129	0.008515684	0.007561063	Up-Down-Down
ROA0_HUMAN	0.010609884	0.017704174	0.005122635	0.008401965	Up-Down-Down
LA_HUMAN	0.009888088	0.015191007	0.005636727	0.005588054	Up-Down-Down
XRCC5_HUMAN	0.008861349	0.009085122	0.004189913	0.006859349	Up-Down-Down
HNRDL_HUMAN	0.008771969	0.013214722	0.005258493	0.007210206	Up-Down-Down
G3BP1_HUMAN	0.008228932	0.010666149	0.003892471	0.006018447	Up-Down-Down
NPM_HUMAN	0.007983326	0.010270892	0	0.005627822	Up-Down-Down
NEST_HUMAN	0.007842121	0.008725271	0.002878957	0.007210206	Up-Down-Down
LC7L3_HUMAN	0.007365931	0.008654458	0.007109266	0.005217313	Up-Down-Down
CAPR1_HUMAN	0.006495418	0.007397875	0.003095608	0.003615045	Up-Down-Down
PSPC1_HUMAN	0.006331681	0.007899351	0.002838561	0.003634929	Up-Down-Down
CD166_HUMAN	0.006175454	0.007863944	0.004487355	0.005588054	Up-Down-Down
UBP2L_HUMAN	0.00584798	0.007038024	0.002919353	0.00400567	Up-Down-Down
ILF2_HUMAN	0.005386811	0.008259201	0.000297442	0.003634929	Up-Down-Down
RL4_HUMAN	0.005148716	0.007362469	0.002878957	0.001992893	Up-Down-Down
RBM19_HUMAN	0.004746883	0.01048333	0.00190584	0.004396295	Up-Down-Down
ZCCHV_HUMAN	0.004508788	0.005244559	0.002581515	0.001992893	Up-Down-Down
DHX15_HUMAN	0.004508788	0.006176698	0.00148721	0.001992893	Up-Down-Down
VIGLN_HUMAN	0.004352561	0.007073431	0.002541119	0.002794027	Up-Down-Down
ENPL_HUMAN	0.004285714	0.004560264	0.00127056	0.003595161	Up-Down-Down
PUM1_HUMAN	0.004114466	0.004418639	0.000973118	0.002383518	Up-Down-Down
TRA2B_HUMAN	0.003876371	0.007899351	0.003690492	0.000390625	Up-Down-Down
EWS_HUMAN	0.003645786	0.007899351	0.001946235	0.001602268	Up-Down-Down
PWP2_HUMAN	0.003638275	0.005386184	0.00063528	0.000410509	Up-Down-Down
