Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
PUM3_HUMAN				15	5	5	2	2	2	27	34	16
NOG2_HUMAN				10	8	8	3	6	1	21	19	19
RL31_HUMAN				8	8	13	22	23	17	9	10	6
H2B1M_HUMAN				7	8	8	24	15	16	5	5	6
PUM1_HUMAN				3	5	6	9	12	12	20	25	25
RL18A_HUMAN				11	10	14	14	10	16	6	9	7
HNRPF_HUMAN				32	22	19	15	18	9	32	37	41
ILF3_HUMAN				11	6	8	5	6	6	19	25	21
K2C6A_HUMAN	23	18	16	22	26	19	23	28	25	21	39	23
DDX56_HUMAN				9	10	7	7	8	9	10	14	13
PARP1_HUMAN				6	3	9	22	16	13	8	12	12
RM43_HUMAN	13	13	12	2	2	4	9	8	8		1	4
RS3A_HUMAN				6	7	11	9	8	9	19	10	13
RS7_HUMAN				21	11	8	11	6	2	8	11	12
RS6_HUMAN				11	11	8	10	10	12	9	11	11
RBM14_HUMAN				7	8	6	6	5	11	19	19	15
LA_HUMAN				11	11	10	3	5	6	11	11	6
RUXE_HUMAN	10			8	7	7	12	12	13	5	4	6
NOP56_HUMAN				6	5	9	5	7	5	21	21	16
PLEC_HUMAN				4	6	3	2	4	0	19	19	20
RL29_HUMAN				8	8	8	16	12	11	9	7	5
UBP2L_HUMAN				4	9	9	3	11	4	16	15	13
ELAV2_HUMAN				2	3	7	7	7	5	16	22	14
DDX18_HUMAN				3	5	5	7	2	4	16	10	12
DHX30_HUMAN				4	6	3	1	1	2	22	23	16
H2A1_HUMAN (+6)				16	12		9	13	8	7	8	8
RS8_HUMAN				8	8	4	10	11	7	8	10	7
RL13_HUMAN				4	6	6	10	10	10	6	5	3
NPA1P_HUMAN				6	5	3		0	1	21	17	18
BYST_HUMAN				7	4	4	12	9	8	6	9	9
RL23A_HUMAN				6	8	8	10	14	11	8	8	8
DHX9_HUMAN				10	7	5	1	4	3	15	19	10
PCBP1_HUMAN				14	18	17	10	8	9	20	16	19
MATR3_HUMAN				3	3	2	4	5	3	20	21	14
GNL3L_HUMAN				0	4	1	4	14	4	19	11	19
ROAA_HUMAN				6	5	6	9	8	10	9	7	8
RL27_HUMAN				10	11	2	7	6	7	10	11	9
SFPQ_HUMAN				4	4	8	3	7	3	14	16	13
TCOF_HUMAN				7	5	4				16	20	15
WDR75_HUMAN				13	8	3				13	16	15
RL24_HUMAN				12	11	12	3	5	3	8	11	10
CEBPZ_HUMAN				1	1		1	5		15	18	21
CAPR1_HUMAN				9	10	4	8	9	8	10	10	4
IF2B2_HUMAN				7	2	2	4	2	6	19	12	12
HMX3_HUMAN				6	9	7	16	15	11	10	11	7
RS16_HUMAN				7	6	2	9	13	6	6	10	9
EF2_HUMAN				3	6	3	7	7	7	10	8	7
RL19_HUMAN				9	10	7	15	8	7	2	3	4
ACTB_HUMAN (+1)				5	5	9	8	12	11	5	5	6
EBP2_HUMAN				9	7	7	2	2	4	11	14	6
RSMB_HUMAN				8	11	8	6	3	3	6	6	4
RBMX_HUMAN				7	1		12	7	7	11	6	11
RSSA_HUMAN				7	5	8	13	5	5	7	11	7
HNRH3_HUMAN				9	4	6	5	3	1	12	14	10
K1C14_HUMAN	40	33	30	16	22	14	18	19	23	11	13	17
CELF1_HUMAN				7	4	5	2	1	3	7	12	9
HNRPL_HUMAN				3	5	5	2	7	1	8	11	12
DSRAD_HUMAN				3	2	2				18	22	12
AL3A2_HUMAN					2	2	4	3	1	12	13	11
CKAP4_HUMAN				3	2	0	2	3	1	14	13	11
RL22L_HUMAN				8	4	4	9	6	3	3	5	5
PABP4_HUMAN				14	19	15	10	16	10	17	24	20
ROA3_HUMAN				2	9	6	3	4	8	8	6	6
NOC3L_HUMAN				4	2	2				10	14	16
RS9_HUMAN				3	3	4	4	9	8	0	2	1
NOP14_HUMAN					5	3		1	8	6	7	8
FAKD2_HUMAN				1	2	1				14	16	11
EIFCL_HUMAN (+1)				6	1	3	4	0	0	9	7	11
VIGLN_HUMAN				3	3	4		2	0	15	8	5
RS18_HUMAN				2	2	2	11	17	11	3	4	1
ZCCHV_HUMAN				3	1	6		1		10	13	13
NSUN5_HUMAN				3	3	3				12	8	12
RBM34_HUMAN				2	1	4	1	2		11	11	10
PESC_HUMAN				2		1	1		4	6	10	10
RL7L_HUMAN				2	3	2	5	2			5	7
IF4H_HUMAN				4	6	6	5	7	3	4	4	4
RS10_HUMAN				8	8	9	0		1	3	3	3
LARP7_HUMAN				1	1			3	4	10	10	11
RENT1_HUMAN				4	5					13	10	6
SSBP_HUMAN	3	1	0	2	6	1	3	6	9		3	
SSF1_HUMAN				5	5	1				8	9	8
POP1_HUMAN				0	4	4	1	3	5	10	6	4
RL21_HUMAN				6		4	6	8		7	10	
NOL11_HUMAN					5	4				12	8	11
RL15_HUMAN				4	4	3	3	3	3	1	4	4
NSUN2_HUMAN				1				3		11	13	4
PTCD3_HUMAN										15	11	10
NOP16_HUMAN				5	3	5	2		2	6	3	2
SRSF6_HUMAN				5	9	8	2	2	3	3		4
TRY1_HUMAN	9	5	6	9	10	8		2	5	3	4	3
XRCC6_HUMAN					1	1	1	0		6	6	8
RRP1B_HUMAN					2	5	1			6	5	8
IF2B3_HUMAN										19	12	14
ROA0_HUMAN				1		2	1	2	5	6	6	7
DDX17_HUMAN				9	11	11				13	12	15
NONO_HUMAN						3	1			13	8	8
RL27A_HUMAN				2	7	3	3	5	9	2	1	
GRSF1_HUMAN					1	0				16	7	3
SMD1_HUMAN		2		8	3	3	5	1	1	3	1	1
LYRIC_HUMAN				2	4	1	1	2	3	6	1	4
U2AF2_HUMAN				1	4	2	2	2	3	1	4	2
RL23_HUMAN				2	3	2	9	4	4		1	2
TDIF2_HUMAN					3		1	1	0	6	4	5
RRBP1_HUMAN					2	2				8	5	11
UBAP2_HUMAN										10	12	6
KRR1_HUMAN										9	7	9
MK67I_HUMAN					1	2				13	7	6
RM37_HUMAN										13	7	9
SRSF2_HUMAN					2		3	9	5	0	1	3
ANR17_HUMAN					1	2				5	7	8
UTP15_HUMAN				0		3				7	2	5
STAU1_HUMAN										7	11	4
SRSF3_HUMAN				4	4	5	4	0	4		1	1
K1C13_HUMAN	11	12	12				4	4	10			
RL35_HUMAN				1	4	4	4	5	1	2	3	1
RS4X_HUMAN				3		4	4	3	3	2	1	1
ABCF1_HUMAN					4	1				8	6	3
IF16_HUMAN						1				9	10	5
NOP9_HUMAN				2						6	10	6
MPP10_HUMAN										8	5	10
HS90A_HUMAN						2	1	4	2	5	5	4
GSCR2_HUMAN				0	1	3		2	0	1	5	5
RS13_HUMAN				2	2	1	3	5	5			0
RBM4_HUMAN					1		1	0		7	1	9
TRI25_HUMAN					2	0				9	2	7
DCA13_HUMAN					3					5	7	6
DDX50_HUMAN				22						24	24	30
DDX31_HUMAN					2	1				7	5	6
MOV10_HUMAN				2						10	7	1
SRSF7_HUMAN				3	4	4		6	3	3	1	1
RS14_HUMAN					0	5	1	1	7	2		5
RM41_HUMAN				2	4	3	0			4	4	2
TBA1B_HUMAN (+2)					1					8	5	4
RRP8_HUMAN				1	2		1	2		2	7	2
RL32_HUMAN				1		1	4	2		0	4	3
DDX24_HUMAN						0				7	2	6
DDX10_HUMAN					1					3	3	3
RM01_HUMAN				1	0	1	3	0	2	2	1	1
PSPC1_HUMAN				2			1		1	3	6	4
E2AK2_HUMAN								1		5	3	3
TAP26_HUMAN				2		0	4	3	0	3		3
NOM1_HUMAN				2						6	4	1
MAP4_HUMAN										8	3	6
TBRG4_HUMAN										7	4	1
UTP18_HUMAN				2	1					4	4	4
RACK1_HUMAN				0				1		6	5	3
CLU_HUMAN										4	6	0
EF1A1_HUMAN (+1)				1	1		1	1	4	1	3	
RBM3_HUMAN				2	6	3	1	1	1			
TIA1_HUMAN				4	3	7				3	10	7
SPS2L_HUMAN					3					5	4	1
PEBP1_HUMAN					2	2					5	6
UBP10_HUMAN				2						2	5	5
CC137_HUMAN				1	1	3		1			2	4
RS25_HUMAN					1		3	5	1	0	1	1
H31_HUMAN (+3)				2	2	1		1	1	0	2	0
ALBU_HUMAN		33		28	34	31		26				
ANXA2_HUMAN				2			3		1		4	2
RRS1_HUMAN						1	2			3	2	2
PURA_HUMAN				1	2					6	3	
TOP2A_HUMAN										4	0	5
SRSF1_HUMAN				2	2	0		1	0	1	1	2
NOLC1_HUMAN				3	1	1				4		1
PRKDC_HUMAN										3	1	3
DIM1_HUMAN										3	7	1
H13_HUMAN (+1)				2	2				0	1	3	1
RL28_HUMAN					2	2	1	2				
PUM2_HUMAN								1		6	6	1
KRT86_HUMAN (+1)				0						5	4	1
RRP1_HUMAN										2	3	3
FUS_HUMAN				2		1				3	3	1
RM13_HUMAN				3		2		1	0			
RS17_HUMAN				5	2	2						
DESP_HUMAN		2		4	1							
CIRBP_HUMAN						3	2			1	1	2
WDR46_HUMAN				1	1					2	0	1
HNRDL_HUMAN				4						5	9	5
SDA1_HUMAN						1				4		3
FUBP1_HUMAN							7		7	13		3
NSA2_HUMAN									1	2	1	3
RS19_HUMAN					1		0	2	1			
IF5A1_HUMAN (+1)				2		3				1		
RL17_HUMAN				3	1	0			0			0
NUFP2_HUMAN										0	4	2
EIF3G_HUMAN										2	2	2
BTF3_HUMAN				4		1	1					
SK2L2_HUMAN										3		1
RL30_HUMAN							2	3				
RRP7A_HUMAN										3	2	
LARP4_HUMAN										1	5	
XRN2_HUMAN										5		0
H2B1J_HUMAN (+3)					8		21	15	17			
ZC3HF_HUMAN										1	1	2
DDX47_HUMAN										1		2
PRC2A_HUMAN										3		
NKRF_HUMAN											2	0
RRP36_HUMAN				2								
