master_protein	cells	treatment	rep
Q8ND24	MCF10A	CL	2
Q93052	MCF10A	CL	2
P25445	MCF10A	CL	2
P15531	MCF10A	CL	2
Q9HAU0	MCF10A	CL	2
Q9UGP4	MCF10A	CL	2
A0MZ66	MCF10A	CL	2
Q96KR1	MCF10A	CL	2
O43295	MCF10A	CL	2
P16615	MCF10A	CL	2
O60763	MCF10A	CL	2
P07204	MCF10A	CL	2
P84098	MCF10A	CL	2
Q6UXH1	MCF10A	CL	2
O00566	MCF10A	CL	2
Q96PC5	MCF10A	CL	2
P55290	MCF10A	CL	2
Q92667	MCF10A	CL	2
O15020	MCF10A	CL	2
Q8WUM4	MCF10A	CL	2
Q7L2E3	MCF10A	CL	2
Q5VZK9	MCF10A	CL	2
P35606	MCF10A	CL	2
P40227	MCF10A	CL	2
O43684	MCF10A	CL	2
P31930	MCF10A	CL	2
Q16643	MCF10A	CL	2
Q14573	MCF10A	CL	2
Q9UGP8	MCF10A	CL	2
P51858	MCF10A	CL	2
Q8NBN3	MCF10A	CL	2
P52306	MCF10A	CL	2
P46940	MCF10A	CL	2
P29590	MCF10A	CL	2
P49588	MCF10A	CL	2
P62829	MCF10A	CL	2
Q8TD19	MCF10A	CL	2
Q96T76	MCF10A	CL	2
Q9NX24	MCF10A	CL	2
Q96CT7	MCF10A	CL	2
Q9P2N5	MCF10A	CL	2
Q92879	MCF10A	CL	2
O60664	MCF10A	CL	2
Q9UKY7	MCF10A	CL	2
Q9H501	MCF10A	CL	2
P61981	MCF10A	CL	2
P30740	MCF10A	CL	2
P17480	MCF10A	CL	2
Q12788	MCF10A	CL	2
Q7KZ85	MCF10A	CL	2
O75083	MCF10A	CL	2
Q9UKI8	MCF10A	CL	2
Q9UPN7	MCF10A	CL	2
Q13085	MCF10A	CL	2
Q9NYL2	MCF10A	CL	2
P42224	MCF10A	CL	2
O43663	MCF10A	CL	2
Q15046	MCF10A	CL	2
Q96LD4	MCF10A	CL	2
P31040	MCF10A	CL	2
Q14997	MCF10A	CL	2
P46776	MCF10A	CL	2
Q86TB9	MCF10A	CL	2
Q9Y6M5	MCF10A	CL	2
Q9BUJ2	MCF10A	CL	2
P48637	MCF10A	CL	2
Q8NFH5	MCF10A	CL	2
Q15366	MCF10A	CL	2
Q14011	MCF10A	CL	2
P60903	MCF10A	CL	2
Q9H190	MCF10A	CL	2
Q03001	MCF10A	CL	2
P49841	MCF10A	CL	2
Q14166	MCF10A	CL	2
O75976	MCF10A	CL	2
Q92597	MCF10A	CL	2
Q7KZI7	MCF10A	CL	2
Q96AY3	MCF10A	CL	2
Q5T5U3	MCF10A	CL	2
P04920	MCF10A	CL	2
Q13601	MCF10A	CL	2
Q86XZ4	MCF10A	CL	2
Q15029	MCF10A	CL	2
Q14684	MCF10A	CL	2
O00401	MCF10A	CL	2
Q9Y2Z0	MCF10A	CL	2
P40939	MCF10A	CL	2
Q13123	MCF10A	CL	2
Q15021	MCF10A	CL	2
Q5VZF2	MCF10A	CL	2
Q8NI35	MCF10A	CL	2
O00410	MCF10A	CL	2
P27635	MCF10A	CL	2
P10768	MCF10A	CL	2
Q9NQW6	MCF10A	CL	2
Q01970	MCF10A	CL	2
P17655	MCF10A	CL	2
P18433	MCF10A	CL	2
P26641	MCF10A	CL	2
P24821	MCF10A	CL	2
P10155	MCF10A	CL	2
Q9ULF5	MCF10A	CL	2
Q8WUM9	MCF10A	CL	2
Q9UP95	MCF10A	CL	2
P11279	MCF10A	CL	2
Q14C86	MCF10A	CL	2
Q13509	MCF10A	CL	2
P52895	MCF10A	CL	2
Q06481	MCF10A	CL	2
Q9NY93	MCF10A	CL	2
P54577	MCF10A	CL	2
Q01105	MCF10A	CL	2
Q6NZI2	MCF10A	CL	2
P15153	MCF10A	CL	2
Q12769	MCF10A	CL	2
O15143	MCF10A	CL	2
Q13838	MCF10A	CL	2
Q01831	MCF10A	CL	2
O75683	MCF10A	CL	2
Q6NXG1	MCF10A	CL	2
O14686	MCF10A	CL	2
Q7Z2T5	MCF10A	CL	2
Q9H3P7	MCF10A	CL	2
Q8IXB1	MCF10A	CL	2
O00299	MCF10A	CL	2
Q13641	MCF10A	CL	2
P13473	MCF10A	CL	2
P62280	MCF10A	CL	2
P05026	MCF10A	CL	2
P22102	MCF10A	CL	2
O14639	MCF10A	CL	2
Q9NSE4	MCF10A	CL	2
O95758	MCF10A	CL	2
P18669	MCF10A	CL	2
P42766	MCF10A	CL	2
Q96JH7	MCF10A	CL	2
O15355	MCF10A	CL	2
Q12904	MCF10A	CL	2
P53992	MCF10A	CL	2
Q12849	MCF10A	CL	2
P15514	MCF10A	CL	2
O14896	MCF10A	CL	2
P61289	MCF10A	CL	2
Q8NHV4	MCF10A	CL	2
Q5ZPR3	MCF10A	CL	2
Q8NBI5	MCF10A	CL	2
Q86UU1	MCF10A	CL	2
Q9BX40	MCF10A	CL	2
Q9Y3F4	MCF10A	CL	2
Q7L4I2	MCF10A	CL	2
O94925	MCF10A	CL	2
Q15678	MCF10A	CL	2
P60842	MCF10A	CL	2
P12532	MCF10A	CL	2
P63244	MCF10A	CL	2
Q96ST2	MCF10A	CL	2
P27824	MCF10A	CL	2
Q6DD88	MCF10A	CL	2
O00159	MCF10A	CL	2
O95453	MCF10A	CL	2
Q15643	MCF10A	CL	2
P09960	MCF10A	CL	2
P09622	MCF10A	CL	2
Q3SY69	MCF10A	CL	2
Q96JP5	MCF10A	CL	2
Q86TI2	MCF10A	CL	2
A6NHR9	MCF10A	CL	2
Q8WUQ7	MCF10A	CL	2
Q9Y266	MCF10A	CL	2
Q9BVP2	MCF10A	CL	2
P00387	MCF10A	CL	2
O14976	MCF10A	CL	2
Q96IF1	MCF10A	CL	2
Q01085	MCF10A	CL	2
P62191	MCF10A	CL	2
P35613	MCF10A	CL	2
O75822	MCF10A	CL	2
P60866	MCF10A	CL	2
Q9BYD1	MCF10A	CL	2
Q5SSJ5	MCF10A	CL	2
Q15393	MCF10A	CL	2
P17096	MCF10A	CL	2
P04181	MCF10A	CL	2
P38606	MCF10A	CL	2
Q9H0B6	MCF10A	CL	2
Q66PJ3	MCF10A	CL	2
P05388	MCF10A	CL	2
Q9Y570	MCF10A	CL	2
P09104	MCF10A	CL	2
P50570	MCF10A	CL	2
O15371	MCF10A	CL	2
P00403	MCF10A	CL	2
P30041	MCF10A	CL	2
P36952	MCF10A	CL	2
Q14289	MCF10A	CL	2
P54136	MCF10A	CL	2
P50479	MCF10A	CL	2
P62899	MCF10A	CL	2
O15438	MCF10A	CL	2
P05198	MCF10A	CL	2
P24928	MCF10A	CL	2
P25398	MCF10A	CL	2
Q8NFJ5	MCF10A	CL	2
P43304	MCF10A	CL	2
P18754	MCF10A	CL	2
Q13439	MCF10A	CL	2
Q8N163	MCF10A	CL	2
O00151	MCF10A	CL	2
P39687	MCF10A	CL	2
Q9NVU7	MCF10A	CL	2
P06702	MCF10A	CL	2
Q04917	MCF10A	CL	2
O95602	MCF10A	CL	2
P60228	MCF10A	CL	2
O60264	MCF10A	CL	2
Q16851	MCF10A	CL	2
P62879	MCF10A	CL	2
P50897	MCF10A	CL	2
O15294	MCF10A	CL	2
P45973	MCF10A	CL	2
P38919	MCF10A	CL	2
P29317	MCF10A	CL	2
Q96HN2	MCF10A	CL	2
Q5BKZ1	MCF10A	CL	2
P55786	MCF10A	CL	2
O15381	MCF10A	CL	2
Q96CS3	MCF10A	CL	2
Q8TBC4	MCF10A	CL	2
O94826	MCF10A	CL	2
P41240	MCF10A	CL	2
O75390	MCF10A	CL	2
P54886	MCF10A	CL	2
Q96HA1	MCF10A	CL	2
Q9Y6K9	MCF10A	CL	2
O14744	MCF10A	CL	2
P39019	MCF10A	CL	2
Q9BY89	MCF10A	CL	2
Q15223	MCF10A	CL	2
P42566	MCF10A	CL	2
P06576	MCF10A	CL	2
A5YKK6	MCF10A	CL	2
O43175	MCF10A	CL	2
Q12792	MCF10A	CL	2
P31939	MCF10A	CL	2
P82933	MCF10A	CL	2
Q92499	MCF10A	CL	2
P17301	MCF10A	CL	2
P47756	MCF10A	CL	2
Q53LP3	MCF10A	CL	2
Q9UBB4	MCF10A	CL	2
P35321	MCF10A	CL	2
P62258	MCF10A	CL	2
P23396	MCF10A	CL	2
Q66K14	MCF10A	CL	2
Q96C19	MCF10A	CL	2
Q86XP3	MCF10A	CL	2
P62277	MCF10A	CL	2
Q9Y6N5	MCF10A	CL	2
P43490	MCF10A	CL	2
O75643	MCF10A	CL	2
Q6DT37	MCF10A	CL	2
P63010	MCF10A	CL	2
Q96P11	MCF10A	CL	2
P62873	MCF10A	CL	2
P46976	MCF10A	CL	2
P07996	MCF10A	CL	2
P25705	MCF10A	CL	2
Q9NVP1	MCF10A	CL	2
P62805	MCF10A	CL	2
Q12959	MCF10A	CL	2
Q14764	MCF10A	CL	2
P19525	MCF10A	CL	2
Q5SYE7	MCF10A	CL	2
Q709C8	MCF10A	CL	2
Q9P270	MCF10A	CL	2
P17676	MCF10A	CL	2
Q05209	MCF10A	CL	2
Q96T58	MCF10A	CL	2
O43776	MCF10A	CL	2
Q13308	MCF10A	CL	2
P55084	MCF10A	CL	2
P41091	MCF10A	CL	2
Q9NTZ6	MCF10A	CL	2
Q3KQU3	MCF10A	CL	2
Q6NYC1	MCF10A	CL	2
O94906	MCF10A	CL	2
Q5T653	MCF10A	CL	2
Q16881	MCF10A	CL	2
Q16531	MCF10A	CL	2
O43291	MCF10A	CL	2
Q13185	MCF10A	CL	2
P41227	MCF10A	CL	2
O60869	MCF10A	CL	2
Q8IY33	MCF10A	CL	2
Q07954	MCF10A	CL	2
Q13435	MCF10A	CL	2
P40763	MCF10A	CL	2
P68371	MCF10A	CL	2
Q9UKK3	MCF10A	CL	2
P07437	MCF10A	CL	2
Q9Y5M8	MCF10A	CL	2
Q9H4L4	MCF10A	CL	2
O75569	MCF10A	CL	2
P52943	MCF10A	CL	2
Q9Y4P3	MCF10A	CL	2
Q7LBC6	MCF10A	CL	2
P11413	MCF10A	CL	2
Q5T0W9	MCF10A	CL	2
Q14683	MCF10A	CL	2
P28838	MCF10A	CL	2
P50395	MCF10A	CL	2
Q8N4C8	MCF10A	CL	2
P50851	MCF10A	CL	2
Q9NSD9	MCF10A	CL	2
Q8NBL1	MCF10A	CL	2
Q9H6S3	MCF10A	CL	2
Q9Y4H2	MCF10A	CL	2
Q02750	MCF10A	CL	2
O76003	MCF10A	CL	2
Q96HE7	MCF10A	CL	2
O75607	MCF10A	CL	2
O75694	MCF10A	CL	2
Q86UK0	MCF10A	CL	2
O14980	MCF10A	CL	2
P28482	MCF10A	CL	2
P49257	MCF10A	CL	2
P13861	MCF10A	CL	2
P57721	MCF10A	CL	2
P28066	MCF10A	CL	2
O00469	MCF10A	CL	2
Q9GZT3	MCF10A	CL	2
P00966	MCF10A	CL	2
Q9H0L4	MCF10A	CL	2
Q9Y624	MCF10A	CL	2
P12429	MCF10A	CL	2
P12956	MCF10A	CL	2
P13611	MCF10A	CL	2
P22223	MCF10A	CL	2
Q13242	MCF10A	CL	2
Q06124	MCF10A	CL	2
Q92973	MCF10A	CL	2
Q8WVJ2	MCF10A	CL	2
Q9Y3E1	MCF10A	CL	2
P61158	MCF10A	CL	2
Q9BYD6	MCF10A	CL	2
Q13177	MCF10A	CL	2
Q9P0K7	MCF10A	CL	2
Q8TEX9	MCF10A	CL	2
P13928	MCF10A	CL	2
P56537	MCF10A	CL	2
Q96PU8	MCF10A	CL	2
Q9Y2L1	MCF10A	CL	2
P62847	MCF10A	CL	2
P42226	MCF10A	CL	2
P21589	MCF10A	CL	2
O15031	MCF10A	CL	2
Q9BVA1	MCF10A	CL	2
Q9H074	MCF10A	CL	2
Q9GZM7	MCF10A	CL	2
Q96JM3	MCF10A	CL	2
Q14512	MCF10A	CL	2
Q9HD20	MCF10A	CL	2
P53999	MCF10A	CL	2
Q9P015	MCF10A	CL	2
Q14240	MCF10A	CL	2
P19634	MCF10A	CL	2
Q52LJ0	MCF10A	CL	2
O00193	MCF10A	CL	2
Q8WWQ0	MCF10A	CL	2
Q15582	MCF10A	CL	2
P30048	MCF10A	CL	2
P62244	MCF10A	CL	2
Q9UH99	MCF10A	CL	2
Q9Y6G9	MCF10A	CL	2
Q8NDI1	MCF10A	CL	2
P49321	MCF10A	CL	2
Q14161	MCF10A	CL	2
Q9BZG1	MCF10A	CL	2
O95373	MCF10A	CL	2
P16152	MCF10A	CL	2
Q9H6Z4	MCF10A	CL	2
O14773	MCF10A	CL	2
Q9BYJ9	MCF10A	CL	2
Q8WUF5	MCF10A	CL	2
Q2NL82	MCF10A	CL	2
P48506	MCF10A	CL	2
O43159	MCF10A	CL	2
P40261	MCF10A	CL	2
P49189	MCF10A	CL	2
Q7Z6M4	MCF10A	CL	2
P42285	MCF10A	CL	2
O75439	MCF10A	CL	2
O95613	MCF10A	CL	2
E9PAV3	MCF10A	CL	2
Q9NU22	MCF10A	CL	2
P20645	MCF10A	CL	2
P22528	MCF10A	CL	2
Q9H3K6	MCF10A	CL	2
O95433	MCF10A	CL	2
O75131	MCF10A	CL	2
Q9P219	MCF10A	CL	2
Q9H223	MCF10A	CL	2
Q9NZL9	MCF10A	CL	2
Q6L8Q7	MCF10A	CL	2
P49755	MCF10A	CL	2
Q9UPU5	MCF10A	CL	2
Q9Y224	MCF10A	CL	2
P30086	MCF10A	CL	2
O00425	MCF10A	CL	2
P30520	MCF10A	CL	2
P30414	MCF10A	CL	2
P61106	MCF10A	CL	2
Q95604	MCF10A	CL	2
Q15058	MCF10A	CL	2
Q9BSJ8	MCF10A	CL	2
P15586	MCF10A	CL	2
P53801	MCF10A	CL	2
Q9ULH0	MCF10A	CL	2
Q9UBC2	MCF10A	CL	2
P14550	MCF10A	CL	2
P23508	MCF10A	CL	2
Q9Y4X5	MCF10A	CL	2
Q9H2J7	MCF10A	CL	2
O60568	MCF10A	CL	2
P52701	MCF10A	CL	2
Q16822	MCF10A	CL	2
P05387	MCF10A	CL	2
Q5SY16	MCF10A	CL	2
Q96TA1	MCF10A	CL	2
P19838	MCF10A	CL	2
Q9NYL9	MCF10A	CL	2
Q9H910	MCF10A	CL	2
Q8N983	MCF10A	CL	2
Q9BR76	MCF10A	CL	2
O95292	MCF10A	CL	2
Q8NCA5	MCF10A	CL	2
P49757	MCF10A	CL	2
P30050	MCF10A	CL	2
Q99567	MCF10A	CL	2
P62136	MCF10A	CL	2
Q9BZE1	MCF10A	CL	2
O75940	MCF10A	CL	2
P57740	MCF10A	CL	2
Q9BTT0	MCF10A	CL	2
Q86V15	MCF10A	CL	2
Q5VYK3	MCF10A	CL	2
Q08357	MCF10A	CL	2
P43686	MCF10A	CL	2
A3KMH1	MCF10A	CL	2
P46060	MCF10A	CL	2
O14979	MCF10A	CL	2
P17931	MCF10A	CL	2
Q31612	MCF10A	CL	2
Q9NUQ8	MCF10A	CL	2
Q04828	MCF10A	CL	2
Q7Z739	MCF10A	CL	2
P07203	MCF10A	CL	2
Q6VMQ6	MCF10A	CL	2
Q9Y6W5	MCF10A	CL	2
P05141	MCF10A	CL	2
Q17RY0	MCF10A	CL	2
P62861	MCF10A	CL	2
Q9BZZ5	MCF10A	CL	2
Q9Y4W2	MCF10A	CL	2
Q9H1I8	MCF10A	CL	2
Q9UIG0	MCF10A	CL	2
Q9Y6G3	MCF10A	CL	2
Q92696	MCF10A	CL	2
Q13625	MCF10A	CL	2
O95163	MCF10A	CL	2
Q08380	MCF10A	CL	2
O95104	MCF10A	CL	2
P68402	MCF10A	CL	2
P05109	MCF10A	CL	2
P07858	MCF10A	CL	2
Q8IY81	MCF10A	CL	2
Q92542	MCF10A	CL	2
P29558	MCF10A	CL	2
Q14203	MCF10A	CL	2
Q9P2B4	MCF10A	CL	2
Q9NYQ8	MCF10A	CL	2
Q9H8Y5	MCF10A	CL	2
Q92688	MCF10A	CL	2
P50502	MCF10A	CL	2
Q96Q45	MCF10A	CL	2
Q9P2I0	MCF10A	CL	2
O75165	MCF10A	CL	2
Q14694	MCF10A	CL	2
O94966	MCF10A	CL	2
Q15019	MCF10A	CL	2
Q96EV2	MCF10A	CL	2
O00267	MCF10A	CL	2
P61019	MCF10A	CL	2
Q96QD8	MCF10A	CL	2
P45880	MCF10A	CL	2
O95487	MCF10A	CL	2
Q9UBB5	MCF10A	CL	2
P01033	MCF10A	CL	2
Q16630	MCF10A	CL	2
O15213	MCF10A	CL	2
Q9UQC9	MCF10A	CL	2
Q9UG63	MCF10A	CL	2
Q96CW5	MCF10A	CL	2
P35232	MCF10A	CL	2
Q9H2D6	MCF10A	CL	2
Q9BQ67	MCF10A	CL	2
Q9UEE9	MCF10A	CL	2
Q9HB71	MCF10A	CL	2
Q9Y608	MCF10A	CL	2
P61160	MCF10A	CL	2
Q6S8J3	MCF10A	CL	2
Q15181	MCF10A	CL	2
Q96IZ7	MCF10A	CL	2
P62851	MCF10A	CL	2
P08559	MCF10A	CL	2
Q96GQ7	MCF10A	CL	2
Q99816	MCF10A	CL	2
P51617	MCF10A	CL	2
Q562R1	MCF10A	CL	2
Q01780	MCF10A	CL	2
Q96B70	MCF10A	CL	2
P16435	MCF10A	CL	2
Q9Y6E0	MCF10A	CL	2
Q00796	MCF10A	CL	2
Q92734	MCF10A	CL	2
O15446	MCF10A	CL	2
Q6P1N0	MCF10A	CL	2
Q9UHD2	MCF10A	CL	2
Q8TEQ6	MCF10A	CL	2
P22681	MCF10A	CL	2
Q9BYK8	MCF10A	CL	2
P11166	MCF10A	CL	2
Q9HCD6	MCF10A	CL	2
P46109	MCF10A	CL	2
Q01433	MCF10A	CL	2
P50213	MCF10A	CL	2
P48067	MCF10A	CL	2
P20042	MCF10A	CL	2
P30876	MCF10A	CL	2
P22695	MCF10A	CL	2
Q96DU7	MCF10A	CL	2
Q9BV68	MCF10A	CL	2
O95347	MCF10A	CL	2
Q16576	MCF10A	CL	2
P47755	MCF10A	CL	2
O95336	MCF10A	CL	2
Q01469	MCF10A	CL	2
P07384	MCF10A	CL	2
P08237	MCF10A	CL	2
O43592	MCF10A	CL	2
Q8WXA9	MCF10A	CL	2
Q8NEW0	MCF10A	CL	2
Q71U36	MCF10A	CL	2
Q9Y4W6	MCF10A	CL	2
Q13131	MCF10A	CL	2
P55735	MCF10A	CL	2
Q9BSC4	MCF10A	CL	2
P12268	MCF10A	CL	2
Q86U42	MCF10A	CL	2
Q9BXY0	MCF10A	CL	2
P21796	MCF10A	CL	2
P40818	MCF10A	CL	2
P52209	MCF10A	CL	2
Q92530	MCF10A	CL	2
P14174	MCF10A	CL	2
Q96DV4	MCF10A	CL	2
P35998	MCF10A	CL	2
P35573	MCF10A	CL	2
Q04206	MCF10A	CL	2
Q9GZP8	MCF10A	CL	2
P38117	MCF10A	CL	2
P57678	MCF10A	CL	2
Q92576	MCF10A	CL	2
Q8TDI0	MCF10A	CL	2
Q9Y2A7	MCF10A	CL	2
Q8WWN8	MCF10A	CL	2
Q96EN8	MCF10A	CL	2
P07737	MCF10A	CL	2
Q96AG4	MCF10A	CL	2
Q2TAY7	MCF10A	CL	2
Q9ULX6	MCF10A	CL	2
Q969L2	MCF10A	CL	2
P54819	MCF10A	CL	2
P37173	MCF10A	CL	2
Q86XL3	MCF10A	CL	2
Q9NRF9	MCF10A	CL	2
P51610	MCF10A	CL	2
P50991	MCF10A	CL	2
P36915	MCF10A	CL	2
Q8WXF1	MCF10A	CL	2
Q9Y6E2	MCF10A	CL	2
Q86W92	MCF10A	CL	2
Q9BZH6	MCF10A	CL	2
P00390	MCF10A	CL	2
Q96RT7	MCF10A	CL	2
Q66K74	MCF10A	CL	2
P23284	MCF10A	CL	2
Q8IWA0	MCF10A	CL	2
P09972	MCF10A	CL	2
P31150	MCF10A	CL	2
O15347	MCF10A	CL	2
P54578	MCF10A	CL	2
O00217	MCF10A	CL	2
P41214	MCF10A	CL	2
Q9NQW7	MCF10A	CL	2
P62495	MCF10A	CL	2
Q12931	MCF10A	CL	2
Q9BQA1	MCF10A	CL	2
Q9UMS4	MCF10A	CL	2
Q9UHX1	MCF10A	CL	2
Q9NT62	MCF10A	CL	2
Q16513	MCF10A	CL	2
O14936	MCF10A	CL	2
Q08AF3	MCF10A	CL	2
P01024	MCF10A	CL	2
P48147	MCF10A	CL	2
A0AVT1	MCF10A	CL	2
O94915	MCF10A	CL	2
Q9H2U2	MCF10A	CL	2
Q969S3	MCF10A	CL	2
Q86WC4	MCF10A	CL	2
P25205	MCF10A	CL	2
Q6XQN6	MCF10A	CL	2
O43264	MCF10A	CL	2
O94886	MCF10A	CL	2
P49454	MCF10A	CL	2
Q9UK58	MCF10A	CL	2
Q5SNT2	MCF10A	CL	2
Q9UDY8	MCF10A	CL	2
Q99714	MCF10A	CL	2
Q9NPF0	MCF10A	CL	2
P20073	MCF10A	CL	2
P40925	MCF10A	CL	2
Q8NFH3	MCF10A	CL	2
P30044	MCF10A	CL	2
Q9NXV6	MCF10A	CL	2
Q13443	MCF10A	CL	2
Q9P287	MCF10A	CL	2
P24534	MCF10A	CL	2
O94913	MCF10A	CL	2
Q93009	MCF10A	CL	2
O75367	MCF10A	CL	2
Q9NQC3	MCF10A	CL	2
P78417	MCF10A	CL	2
Q9Y2W2	MCF10A	CL	2
Q9NRW3	MCF10A	CL	2
Q53FA7	MCF10A	CL	2
Q15434	MCF10A	CL	2
P33527	MCF10A	CL	2
Q9Y2X9	MCF10A	CL	2
Q9NPI6	MCF10A	CL	2
Q9NTJ5	MCF10A	CL	2
Q9H6B4	MCF10A	CL	2
Q15102	MCF10A	CL	2
P62424	MCF10A	CL	2
O14647	MCF10A	CL	2
Q9NVN8	MCF10A	CL	2
P61204	MCF10A	CL	2
P17174	MCF10A	CL	2
P50454	MCF10A	CL	2
O00560	MCF10A	CL	2
Q9BWU0	MCF10A	CL	2
P55209	MCF10A	CL	2
Q8IXI1	MCF10A	CL	2
Q99497	MCF10A	CL	2
Q86X55	MCF10A	CL	2
Q9UBU9	MCF10A	CL	2
P60709	MCF10A	CL	2
Q14114	MCF10A	CL	2
Q96RP9	MCF10A	CL	2
P68366	MCF10A	CL	2
Q9H7D7	MCF10A	CL	2
Q9NQS1	MCF10A	CL	2
Q07021	MCF10A	CL	2
Q15796	MCF10A	CL	2
O95831	MCF10A	CL	2
P20290	MCF10A	CL	2
P14678	MCF10A	CL	2
Q9NP31	MCF10A	CL	2
P17275	MCF10A	CL	2
Q9UNN8	MCF10A	CL	2
Q6P9B6	MCF10A	CL	2
Q86Y56	MCF10A	CL	2
P05386	MCF10A	CL	2
O00273	MCF10A	CL	2
Q04446	MCF10A	CL	2
P12955	MCF10A	CL	2
Q96DH6	MCF10A	CL	2
P62140	MCF10A	CL	2
Q9BQ52	MCF10A	CL	2
Q7Z460	MCF10A	CL	2
P36776	MCF10A	CL	2
P23743	MCF10A	CL	2
O60287	MCF10A	CL	2
Q9UET6	MCF10A	CL	2
P48960	MCF10A	CL	2
P36873	MCF10A	CL	2
Q9H8H0	MCF10A	CL	2
Q9Y4F3	MCF10A	CL	2
P31949	MCF10A	CL	2
P25325	MCF10A	CL	2
Q9UGU0	MCF10A	CL	2
Q12929	MCF10A	CL	2
P47989	MCF10A	CL	2
Q9H0E2	MCF10A	CL	2
O95478	MCF10A	CL	2
Q15477	MCF10A	CL	2
Q8WUM0	MCF10A	CL	2
Q9NXF1	MCF10A	CL	2
Q9Y613	MCF10A	CL	2
Q9H1B7	MCF10A	CL	2
Q9BXP2	MCF10A	CL	2
P11177	MCF10A	CL	2
P62820	MCF10A	CL	2
Q96KP4	MCF10A	CL	2
P63261	MCF10A	CL	2
A0AV96	MCF10A	CL	2
P04350	MCF10A	CL	2
Q92922	MCF10A	CL	2
Q6P1J9	MCF10A	CL	2
Q9Y285	MCF10A	CL	2
O95361	MCF10A	CL	2
P46778	MCF10A	CL	2
Q15904	MCF10A	CL	2
Q16401	MCF10A	CL	2
Q92797	MCF10A	CL	2
P04908	MCF10A	CL	2
Q9HAV4	MCF10A	CL	2
O14602	MCF10A	CL	2
Q9H4L7	MCF10A	CL	2
P10515	MCF10A	CL	2
Q7L2H7	MCF10A	CL	2
O00232	MCF10A	CL	2
P68032	MCF10A	CL	2
Q9NVH1	MCF10A	CL	2
Q96ST3	MCF10A	CL	2
Q6IBS0	MCF10A	CL	2
Q8NDT2	MCF10A	CL	2
P23258	MCF10A	CL	2
P55795	MCF10A	CL	3
Q9P2E9	MCF10A	CL	3
P47914	MCF10A	CL	3
Q15021	MCF10A	CL	3
Q15424	MCF10A	CL	3
Q5D862	MCF10A	CL	3
Q14152	MCF10A	CL	3
Q15149	MCF10A	CL	3
O14578	MCF10A	CL	3
Q9BYE3	MCF10A	CL	3
Q02241	MCF10A	CL	3
P51116	MCF10A	CL	3
Q4G0M1	MCF10A	CL	3
O75475	MCF10A	CL	3
Q08170	MCF10A	CL	3
Q14151	MCF10A	CL	3
Q01105	MCF10A	CL	3
P07910	MCF10A	CL	3
Q86YZ3	MCF10A	CL	3
P61978	MCF10A	CL	3
Q9UHB7	MCF10A	CL	3
P11021	MCF10A	CL	3
P46777	MCF10A	CL	3
P83731	MCF10A	CL	3
Q6Y7W6	MCF10A	CL	3
O75400	MCF10A	CL	3
Q13428	MCF10A	CL	3
P35580	MCF10A	CL	3
P84098	MCF10A	CL	3
P11387	MCF10A	CL	3
P15924	MCF10A	CL	3
P02545	MCF10A	CL	3
Q9Y446	MCF10A	CL	3
P67809	MCF10A	CL	3
P52272	MCF10A	CL	3
Q15233	MCF10A	CL	3
P62241	MCF10A	CL	3
Q5TA76	MCF10A	CL	3
Q9NUQ6	MCF10A	CL	3
Q00839	MCF10A	CL	3
P11940	MCF10A	CL	3
Q12906	MCF10A	CL	3
Q9Y2W1	MCF10A	CL	3
P14866	MCF10A	CL	3
P36578	MCF10A	CL	3
Q14980	MCF10A	CL	3
P27816	MCF10A	CL	3
P31151	MCF10A	CL	3
Q9UHB9	MCF10A	CL	3
Q14134	MCF10A	CL	3
Q5SW79	MCF10A	CL	3
Q92804	MCF10A	CL	3
O43237	MCF10A	CL	3
P11047	MCF10A	CL	3
P52292	MCF10A	CL	3
Q96QC0	MCF10A	CL	3
O76021	MCF10A	CL	3
P20930	MCF10A	CL	3
Q9BUQ8	MCF10A	CL	3
P04406	MCF10A	CL	3
P31939	MCF10A	CL	3
Q8IX12	MCF10A	CL	3
Q13753	MCF10A	CL	3
Q9BW04	MCF10A	CL	3
Q5JSZ5	MCF10A	CL	3
Q6UWP8	MCF10A	CL	3
Q12849	MCF10A	CL	3
P55265	MCF10A	CL	3
Q92615	MCF10A	CL	3
O94913	MCF10A	CL	3
Q01130	MCF10A	CL	3
Q9C0J8	MCF10A	CL	3
P31689	MCF10A	CL	3
Q9Y520	MCF10A	CL	3
Q13442	MCF10A	CL	3
Q12789	MCF10A	CL	3
Q12905	MCF10A	CL	3
Q15154	MCF10A	CL	3
P23588	MCF10A	CL	3
Q99959	MCF10A	CL	3
P35579	MCF10A	CL	3
Q02790	MCF10A	CL	3
Q9UKJ3	MCF10A	CL	3
Q9H307	MCF10A	CL	3
P33527	MCF10A	CL	3
P23246	MCF10A	CL	3
Q969S3	MCF10A	CL	3
Q9C0C2	MCF10A	CL	3
Q12788	MCF10A	CL	3
Q86V15	MCF10A	CL	3
Q9UQ35	MCF10A	CL	3
Q8WVV4	MCF10A	CL	3
P50914	MCF10A	CL	3
Q6PKG0	MCF10A	CL	3
O94929	MCF10A	CL	3
Q03164	MCF10A	CL	3
Q16531	MCF10A	CL	3
Q5T3I0	MCF10A	CL	3
P42766	MCF10A	CL	3
P21333	MCF10A	CL	3
Q03701	MCF10A	CL	3
Q9UJU6	MCF10A	CL	3
P22626	MCF10A	CL	3
Q6XZF7	MCF10A	CL	3
