Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
MINT_HUMAN	4	2	2	6	3	3	2	3	5	6	3	6
CHD2_HUMAN	3	2		3		3	2	3	2	2	4	
RHG23_HUMAN		2		4	4	4	3	2	6	3	5	4
GOGA4_HUMAN				6	3	3		3	4	3	4	6
PDILT_HUMAN								4		3		
RS30_HUMAN				1	1		1	1	1	1		
FIG4_HUMAN				2			3	2				
Z518B_HUMAN		2		2	5							
VASP_HUMAN								1				
EVL_HUMAN								1				
ENAH_HUMAN		2						1				
TRIP6_HUMAN						2						
ITPR1_HUMAN	4	2	3	3	4	2	2	4	3	4		4
CFA54_HUMAN	3	2		4		2	4	3	3	2	4	3
RL27A_HUMAN				1	2	2	2	2	1	1	1	
KANK4_HUMAN				2			2			4		
CHD7_HUMAN							2	3		5		
MRCKB_HUMAN				4						5	3	4
EXTL3_HUMAN							2					
PRP8_HUMAN						2	2			4		5
TKTL2_HUMAN						3						
COBA1_HUMAN				5	3	2	3	2			3	3
RHG25_HUMAN							3		2		2	
ERIP6_HUMAN				2		2					2	
SH321_HUMAN							2		2			
LRC43_HUMAN							2					
RBM42_HUMAN							2					
DDX51_HUMAN				2			2			3	3	4
RS9_HUMAN				8	5	6	6	8	8	3	4	6
VPS39_HUMAN				4				2			2	
CMTA2_HUMAN								2				2
SPTA1_HUMAN	3	4		4	4	4	2	3	6	5	2	3
PE2R1_HUMAN												2
IP3KA_HUMAN												2
PLXC1_HUMAN				3		2						2
LAMC3_HUMAN							3					2
CO4A3_HUMAN			2				2					2
SPG7_HUMAN										2		2
MYPC3_HUMAN		2					2		3	2		
PLCB4_HUMAN										2		
O13C7_HUMAN										2		
PDC6I_HUMAN					2					2	3	
URFB1_HUMAN					3							
CAND1_HUMAN				4	2		2		3		2	
TMTC2_HUMAN											3	2
NPHP3_HUMAN						2					2	
TRAK2_HUMAN						2						
PCDA5_HUMAN						2						
PUR9_HUMAN						2					2	
POGZ_HUMAN									2			
TERA_HUMAN									2	2	2	
ANPRA_HUMAN										2		
CSF1R_HUMAN										2	2	
TPTE_HUMAN										2		
TPTE2_HUMAN										2		
SSPO_HUMAN											2	
AGRL2_HUMAN							2					
S22AK_HUMAN							2					
MYH9_HUMAN							2				2	
RBBP6_HUMAN				2	2	2		3		2	2	3
IF4G1_HUMAN					3	2	1	1	1	2	3	7
E41LB_HUMAN											3	
RHG20_HUMAN												2
ZG16B_HUMAN					1							
UBP35_HUMAN					2		2					2
EXD1_HUMAN												2
AT7L1_HUMAN				2								
STRA6_HUMAN								2				
PRS10_HUMAN					2		2	2				
WNK4_HUMAN					2	2						
HIPK1_HUMAN				2	2		2					
KCNH2_HUMAN				2								
GLIS2_HUMAN				2								
MORC1_HUMAN									2			
RP1L1_HUMAN				2	3		2		2	2	3	2
FERM2_HUMAN								2		2		
PALB2_HUMAN				3								
MLH1_HUMAN				2	2				2	2		3
NASP_HUMAN					2							
CHM4C_HUMAN									2			
RT18A_HUMAN					1	2	2	1	1	1		2
SELN_HUMAN										2		
DCLK1_HUMAN							2					
ANXA7_HUMAN							2					
RA54B_HUMAN							2			2		
GRIK1_HUMAN										2		
CCD63_HUMAN				4	3			2		2		
POTEM_HUMAN										2		
POTEH_HUMAN										2		
MIB1_HUMAN										2		
ZN865_HUMAN										2		
MEIOC_HUMAN										2		
RSBNL_HUMAN											2	
GFPT2_HUMAN											2	4
DCST2_HUMAN									2			
DEN5B_HUMAN				2	2	1			2		2	
DSCAM_HUMAN					3						2	
NID1_HUMAN									2		2	
JPH1_HUMAN											2	
NUAK2_HUMAN											2	
HDAC9_HUMAN											2	
SHE_HUMAN											2	2
ZHX2_HUMAN							2	2			2	
SIPA1_HUMAN												2
C102A_HUMAN			3									
KCD19_HUMAN						2			2			
MED1_HUMAN							3					
VKGC_HUMAN									2			
EPIPL_HUMAN			2			2	2		2			2
PZRN4_HUMAN												2
MAGI1_HUMAN										2	2	2
KLH13_HUMAN										2		
CLK4_HUMAN				3								2
R13P3_HUMAN			1									
LTN1_HUMAN						3		3				
WDR87_HUMAN			2	4	4	3			2	2	4	3
DOC10_HUMAN										2	2	
MRO2B_HUMAN										2		
CNTP3_HUMAN						2						
HS3S5_HUMAN									3			
IGFN1_HUMAN				4	2	2		2	4		3	2
E2AK4_HUMAN	3	2	2				3			2	3	
CD209_HUMAN								2				
EVPL_HUMAN	4		3	4	3	3		3				
RBP2_HUMAN	3	3	4	3	3	2	3	3	3	8	4	3
TDT_HUMAN		2										
CSMD3_HUMAN		2							2		3	
NOLC1_HUMAN				3	6	1				4	2	2
STRBP_HUMAN				3	2							7
PEBP1_HUMAN					2	1					3	2
H2A2B_HUMAN					3	2			4			
RL22L_HUMAN				8	3	4	3	4	4	3	3	4
SV2A_HUMAN							2					
AKA11_HUMAN						2	2					
FUS_HUMAN				3		1				3	2	3
PHX2B_HUMAN					3		5			6		
FIBB_HUMAN				2	2	2	4	2	2	2	1	3
DDX49_HUMAN							2			3	5	5
FSIP2_HUMAN	3	5	4	8	7	4	6	8	5	8	8	9
LRIG1_HUMAN										2		
NED4L_HUMAN				2								
B4GN3_HUMAN							2					
CFA46_HUMAN				2	4		2	3		2	4	
CTNA1_HUMAN						2				2		
FA83B_HUMAN										2		
KMT2E_HUMAN			2									
USO1_HUMAN						2						
AKAP9_HUMAN	4	6	2	9	5	4		3	3	2	3	5
COE1_HUMAN			3									
COE3_HUMAN			3									
COE4_HUMAN			3									
RYR3_HUMAN	3	2	2	5	4	7	2	5	4	5	5	3
NAA16_HUMAN									2	2	4	1
NAA15_HUMAN										2		1
EGLN2_HUMAN						2						
ACINU_HUMAN						2	2				2	
CLUS_HUMAN										1	1	
PCDB3_HUMAN										2		
D19L2_HUMAN										2		
DPYS_HUMAN							1					
SPB13_HUMAN								2				
HIP1_HUMAN								3				
H31_HUMAN				5	3	3	1	2	4	2	3	2
H33_HUMAN				5	3	3	1	2	4	2	3	2
H32_HUMAN				5	3	3	1	2	4	2	3	2
H31T_HUMAN				5	3	3	1	2	4	2	3	2
H3C_HUMAN							1	2		2		
KCNH6_HUMAN							2					
KBTBB_HUMAN							2					
ANKL2_HUMAN							2					
ABCA2_HUMAN					2		2	3		2	3	
CAGE1_HUMAN					3	2	2	3	2		4	4
SESD1_HUMAN						2					3	
AGAP1_HUMAN		2										
DPEP1_HUMAN							3					
CCD38_HUMAN					2		3	2	2			
RUFY4_HUMAN									2			
FOCAD_HUMAN		2		2	2	2			2	2	4	2
AT8B2_HUMAN									2			
TM214_HUMAN									2			
QCR1_HUMAN									2			
CRML_HUMAN						2			2			
SPKAP_HUMAN						2			2			
IKKE_HUMAN						2						
SNX29_HUMAN						2					2	
RIM3C_HUMAN				4			3	2		2	2	
SFSWA_HUMAN							3					2
RIM3B_HUMAN				4			3	2		2		2
RIM3A_HUMAN				4			3	2		2	2	2
BCAR3_HUMAN				2			2		2	2		2
PPR18_HUMAN					2							
ADH4_HUMAN									2			
CPSF1_HUMAN		2			2		2		2	2	3	
FIBA_HUMAN				3	2							
TTC3_HUMAN	3			3	2	2	2			2	3	4
PALLD_HUMAN									2			2
UBN1_HUMAN					3					2		2
SYTL5_HUMAN										2		
MERL_HUMAN										2		
S27A2_HUMAN										2		
KANK2_HUMAN											2	
GCNT3_HUMAN				2								
ARH38_HUMAN							3					
CCHCR_HUMAN							3					
ZFHX3_HUMAN	3			2		2	3			2	2	2
LAMA5_HUMAN				3			2	3			2	
RASF6_HUMAN											2	
COL11_HUMAN											2	
SALL1_HUMAN											2	
RM15_HUMAN										1	1	
HMCN1_HUMAN	5	2		4	2		6	3	3	3		4
PERQ1_HUMAN	3	2	3		2		5		2			3
DGKQ_HUMAN			2									
NWD2_HUMAN				2								
FRAS1_HUMAN			2	2		4		3	3		2	
PP2BA_HUMAN											3	
SEM4C_HUMAN											3	
COSA1_HUMAN					2							
ARH40_HUMAN		2			2	2						
EFL1_HUMAN		2										
SHRM3_HUMAN	4	2		2	4		2	3			2	
IF140_HUMAN	2	2										
RBM10_HUMAN				2				2			3	3
BUB1B_HUMAN												3
PDE3B_HUMAN				3			3					
PDE4A_HUMAN				2							3	2
ZN784_HUMAN							2					
SYTC_HUMAN							2					
P3C2A_HUMAN									2			
TENX_HUMAN					2		2		2			
AT1A2_HUMAN							2					
PRDM9_HUMAN							2					
RC3H2_HUMAN					2		2				4	2
DDX58_HUMAN											3	
DPOG1_HUMAN						3					4	
RS4X_HUMAN				3	1	4	5	3	4	4	2	2
SLN12_HUMAN								3			3	3
KS6A3_HUMAN					2	3		3				3
NPAS2_HUMAN												3
DMBX1_HUMAN				2								
GNPAT_HUMAN				2								
SBNO2_HUMAN				2								
VPS11_HUMAN				2								
INO80_HUMAN				2								3
IF2P_HUMAN									2		4	3
NMT1_HUMAN						1					1	2
WDR46_HUMAN				3	2					3	3	4
LONP2_HUMAN								2			3	
FGFR4_HUMAN											3	
STRUM_HUMAN				3	2	2	4	3	4	6	2	3
LYAR_HUMAN									2	3		
RADI_HUMAN										3		
MOES_HUMAN										3	2	
SBP2L_HUMAN					4	2	3					
BAZ1A_HUMAN				4	3	2						
SYLM_HUMAN				3		3		2				3
CYTSA_HUMAN				2								
RASL1_HUMAN				2	3			2				3
KPBB_HUMAN												4
RBP56_HUMAN										3	2	2
RSCA1_HUMAN								2				
CPT1B_HUMAN								2				
RS20_HUMAN					1	1		1		2		
DDX6_HUMAN										4		3
ECM29_HUMAN	3	4	3	3	7	4	6	5	4	6	4	4
VAV3_HUMAN			2									
DCA12_HUMAN									2			
ELF2_HUMAN									3			
TSG10_HUMAN			2						2			
UBP24_HUMAN			2	3	5						3	
U520_HUMAN				2								
SASH3_HUMAN				1								
ZN592_HUMAN				1		2						2
KLD8A_HUMAN												2
PHF8_HUMAN				3	3			2		3	3	2
TDRD6_HUMAN	3	3	3	3		3	3		5	3		4
TYW5_HUMAN										2		
UTP4_HUMAN				1								
GEN_HUMAN				2								
LAR4B_HUMAN				2						1	1	3
H2AY_HUMAN										2		
MDM1_HUMAN												2
MTMR2_HUMAN					4		2			2	2	2
SCN3A_HUMAN										2		
MIO_HUMAN												2
SOGA3_HUMAN												2
APAF_HUMAN					2			2			1	2
CO3_HUMAN										2	2	2
RARB_HUMAN											2	
RARA_HUMAN											2	
TARB1_HUMAN								2				
RBM15_HUMAN								2		2	1	
FA63B_HUMAN				2								
LRIF1_HUMAN						2						
ACM1_HUMAN						2						
P85A_HUMAN				2		2						
XPC_HUMAN				2								
SAM9L_HUMAN				2								
RBM40_HUMAN				2								
EM55_HUMAN				2								
ECH1_HUMAN				2								
TMCC3_HUMAN				2								
RREB1_HUMAN				2								
DEND3_HUMAN				2								
VW5B1_HUMAN								2				
DOT1L_HUMAN								2				
FAT1_HUMAN			3	2				2	4		3	4
TAU_HUMAN											3	
FIZ1_HUMAN					2							
RGPA1_HUMAN				2	3							
TENA_HUMAN					2							
RFPL2_HUMAN					2							
TTBK1_HUMAN				2	2				2	2	3	
WAPL_HUMAN						2						
M3K9_HUMAN						3	4		2	2		
DHX29_HUMAN							2					
ASB12_HUMAN							2					
NFX1_HUMAN							2					
AUP1_HUMAN								2				
ABCA7_HUMAN						2	2	2		2		3
CHERP_HUMAN						2	4			2		
1B15_HUMAN							2					
LRP1_HUMAN						2	1	2		2		
THS7A_HUMAN										2		2
VWA2_HUMAN										2		
FXR1_HUMAN				3						2		2
MD1L1_HUMAN										2		
CP4Z1_HUMAN												2
ANR27_HUMAN										2		3
DDX53_HUMAN							2					
GARL3_HUMAN		2					2			2		
TACO1_HUMAN										2		
PCDGJ_HUMAN												2
ADCY2_HUMAN												1
TOE1_HUMAN												2
ZN236_HUMAN			2									
MGT5B_HUMAN				2	3							
HMGN1_HUMAN						2						
OFD1_HUMAN						2						
TOP3A_HUMAN							2					
ST5_HUMAN			2	2		2	2			2		2
TNR6C_HUMAN								2	4		1	1
GAR1_HUMAN	2									1	1	1
RN168_HUMAN							2					
VWA8_HUMAN							3					
PNPT1_HUMAN				4			2				2	2
RPGF6_HUMAN								4				
ITPR2_HUMAN	3		2	4	3		3	4			2	2
NPAP1_HUMAN							2			2		
NOL10_HUMAN					2					2		
P4HA1_HUMAN								2				
LYPL1_HUMAN								2				
RN3P2_HUMAN								2		3		
RRN3_HUMAN								2	2	3		
SIG11_HUMAN									2			
TTC41_HUMAN									2	2		
OTU6B_HUMAN										2		
HMHA1_HUMAN										2	2	
IQEC2_HUMAN							2	2		2		
TMTC4_HUMAN											2	
CCAR1_HUMAN				2			2		2		2	2
CTNB1_HUMAN				3								
CHD8_HUMAN				3	2		3			2	2	
RNF31_HUMAN				3								
GRID1_HUMAN						2						
ARMC8_HUMAN						2						
CENPK_HUMAN						2	2					
DX39B_HUMAN									2			
BIG1_HUMAN				3		2	2		2			
RTN4_HUMAN				2	2	4		2		2		
CB016_HUMAN						3					3	
TBK1_HUMAN											2	
PKH4B_HUMAN							2				3	
TM131_HUMAN							3			3	2	2
FGR_HUMAN		2				2			2	2		
PREP_HUMAN										2		
RB15B_HUMAN			2									
CSPG2_HUMAN			2						2			
GRM6_HUMAN							2					
KMT2A_HUMAN			2	3	4	2	2		2	3		
U5S1_HUMAN										2		
PFKAM_HUMAN			2									
CNGA4_HUMAN				2								
P_HUMAN								2				
OSB10_HUMAN				2				2	2			
OSB11_HUMAN				2								
ZSWM8_HUMAN			2	1	3		4		2	2		
PDE9A_HUMAN					2							
PTPRA_HUMAN							2	3				
M3K6_HUMAN					2		2			2		
KIF27_HUMAN				2								3
POLK_HUMAN					3	2	3		3	2		2
HIF3A_HUMAN				2								
MABP1_HUMAN				2								
ASXL1_HUMAN				2								
CASC5_HUMAN				2				2				
SPT6H_HUMAN				2								
FRPD1_HUMAN				2						3		
GLDN_HUMAN		2										
ISOC1_HUMAN									2			
RHG28_HUMAN									3			
PTN9_HUMAN				2					2			
TRI32_HUMAN		2	2	2						2		
KCMA1_HUMAN					2							
TXND3_HUMAN								2				
I2BP1_HUMAN								2				
ANR11_HUMAN				2	2	3		2	3	2		
NOTC4_HUMAN							3			2		3
HEMH_HUMAN									2			
TCPB_HUMAN									2	2		
AXDN1_HUMAN										3		
WDR47_HUMAN				2								
TSNA1_HUMAN									2			
REST_HUMAN				2	3	2	2		2			
MSH4_HUMAN				2			2			2		
ABL2_HUMAN											2	
DIP2C_HUMAN				2			2		4		2	
KANK3_HUMAN							2		3		2	
AT11A_HUMAN								2				
TAOK2_HUMAN					2		3	2		2	2	
P66B_HUMAN				4		3						
USH2A_HUMAN	3	3		4	4	2				2		
GP143_HUMAN												2
UBP32_HUMAN									2			
EMAL5_HUMAN									2			
AP3B2_HUMAN		2							2			3
MYH16_HUMAN		2		2	5		3	3		2	2	2
MASTR_HUMAN						2						
UACA_HUMAN			3	3	4	2	2	2	2	2	4	3
GALT4_HUMAN											2	
MSH5_HUMAN						2						
ZDBF2_HUMAN				2		2						3
EST5A_HUMAN								3				3
SF3B6_HUMAN								2	2			
GRM4_HUMAN				2			2	3				3
MYH7_HUMAN				3				2				3
AT2B1_HUMAN							2					
RABX5_HUMAN							2					
LAMA2_HUMAN							2					
MYH6_HUMAN				3			2	2				3
PKP4_HUMAN					2					2	2	3
E41LA_HUMAN	2	2	2	3	2		3			2		
GRSF1_HUMAN				2	4	1				9	6	7
DDX18_HUMAN				5	6	4	6	3	5	11	12	10
TIAR_HUMAN				8	6	7	5	6	6	8	7	7
RL13A_HUMAN	2		1	15	10	12	13	12	15	12	12	13
PHLP2_HUMAN				2								
P2RY8_HUMAN				2								
SPIR1_HUMAN	4	3		2					3			
KRT83_HUMAN					2	2					6	
RNBP6_HUMAN						2						
EXOC4_HUMAN						2						4
ABCAA_HUMAN					3							
FSD1_HUMAN							2					
U2AF2_HUMAN				2	1	2	1	1	1	4	4	2
KIF15_HUMAN			2		2			3	3	4	4	
FSIP1_HUMAN									4			
CSTF2_HUMAN									3	4		3
KIF28_HUMAN		2			3	3						
RRP36_HUMAN				2	1							
HUWE1_HUMAN		2	1	5	10	5	4	4	6	6	6	4
K1C25_HUMAN		5					3					2
KALRN_HUMAN				4		4		2	2	4	5	4
MD12L_HUMAN							2	3		3		
MDN1_HUMAN	4	5	3	8	6	3	6	5	3	4	5	8
DIAP3_HUMAN	3	2			2		2		2			
A16A1_HUMAN												1
DOK2_HUMAN												1
YTDC2_HUMAN										2	3	1
ZGRF1_HUMAN				5						2		
RS13_HUMAN				4	4	2	2	2	3		2	1
CB015_HUMAN											2	
ST7L_HUMAN												2
PRP6_HUMAN			2	3								
TRFL_HUMAN									3			
CNTLN_HUMAN		2	2				2		3	3	3	3
ZEB1_HUMAN						2						
HP1B3_HUMAN						2				2		
TCPR1_HUMAN			2				2					
ZC3H3_HUMAN					3	3						
KDM5C_HUMAN			2		3			2	1		2	3
KDM5D_HUMAN							2				2	
BCD1_HUMAN					2							
ERAP1_HUMAN				2	2				2		2	
PKP2_HUMAN											2	
CE120_HUMAN											2	
ANXA3_HUMAN										2	2	
ABCB5_HUMAN											2	
ZAN_HUMAN											2	
RPF2_HUMAN										1	1	1
PONL1_HUMAN										2		
ABT1_HUMAN											2	1
CA2D3_HUMAN											3	
ZN185_HUMAN					2						2	
SL9C1_HUMAN											3	
RL30_HUMAN							3	3				
CIRBP_HUMAN						3	2			1	1	2
SRCRM_HUMAN									2		3	
PARP4_HUMAN	3	3								2	3	
CTC1_HUMAN				3			4			4		4
USBP1_HUMAN				2								
KDEL2_HUMAN				2								
RPB1_HUMAN				2								
DHTK1_HUMAN				2								
FLNB_HUMAN				2								4
PTPRJ_HUMAN									3			
PCD23_HUMAN				4	6		2	3	3	4	4	6
RAD50_HUMAN		3	4			3	3	4	5		4	
TBD2B_HUMAN									2			
M3K14_HUMAN							3	2	2			
ADAD2_HUMAN						2	3	2	2			4
RA51B_HUMAN					3							
VP13C_HUMAN	4	4		5	3	3	3	5	4	3	6	3
NBPF3_HUMAN					2							
SMC1B_HUMAN	3	3			2				2			
UBA7_HUMAN	2	2	3	5		3	2		4	3	3	3
SMCA1_HUMAN										3		1
B2L14_HUMAN					3	3	4					
NIN_HUMAN				4	3		3			2	4	6
INT10_HUMAN										3		
Z3H7B_HUMAN										2	3	3
CCD62_HUMAN									2			
METH_HUMAN				4	2	3	3	2	2	3	2	2
BLML_HUMAN										3		
PAN2_HUMAN							2			3		
PDZD2_HUMAN		2		3	7	4	4	2	2	3		2
ZN282_HUMAN						2						
EVC_HUMAN			2			2						
S12A5_HUMAN			2									
MTOR_HUMAN		3	2			2	2		3	4	2	2
K1109_HUMAN										3	3	5
SC23A_HUMAN											2	
VIR_HUMAN				4						3	2	2
CHD4_HUMAN					3	3				3		
ZFR_HUMAN					2							3
SG223_HUMAN				2			2	2	2	3	2	2
WDR73_HUMAN											2	
IF122_HUMAN											2	
DSG4_HUMAN							2			3	2	1
AKAP2_HUMAN									2			
C170B_HUMAN			2	3				2	4		4	1
CSMD2_HUMAN				4					3		3	2
TM11E_HUMAN												2
ZCPW1_HUMAN						2		2				
ROCK2_HUMAN				4		2		2			3	2
GP108_HUMAN									2			
TEX11_HUMAN									2	3	3	3
PR14L_HUMAN										3		
ZZEF1_HUMAN		2				3		4	4	3		
RS16_HUMAN				2	1	2	2	1	1	1	1	1
DAAF5_HUMAN					2							
TSC2_HUMAN					3		2	2	3	3		
QOR_HUMAN						2					2	
TRI46_HUMAN					3						2	
GTD2B_HUMAN				2							2	
GTD2A_HUMAN				2							2	
CAD22_HUMAN												1
VGFR1_HUMAN							3					1
ZFP91_HUMAN							1					1
FGD5_HUMAN							3					1
CING_HUMAN			2								3	1
NRDC_HUMAN											3	
HIRP3_HUMAN											2	
SPTN1_HUMAN	3	3	3	3	7	4	5		5	3	2	
SCAR5_HUMAN												2
CAD23_HUMAN				3								2
UBAC1_HUMAN												2
EPHA7_HUMAN							2					
AGGF1_HUMAN							2		2			
ZEP1_HUMAN				3	2		2	2			3	2
ESYT3_HUMAN												3
SPG16_HUMAN												3
ADA1B_HUMAN					2							
KGP1_HUMAN									2			
NFRKB_HUMAN					2			2	2	4	3	3
PGBM_HUMAN		3	3	3	2	4	3	3	4	3	2	2
MYH3_HUMAN					2				2	4		
DQA1_HUMAN										3	2	
TPPC8_HUMAN				3	5	3	3		3		4	
XIRP2_HUMAN	4	3		4		5	6	5		5	6	5
SAHH_HUMAN	2	1	2									
NR1I3_HUMAN					2							
TM237_HUMAN					2							
SRCRL_HUMAN					2			3				
OPHN1_HUMAN					1							
CAR10_HUMAN					2							
TSH3_HUMAN					1	1					2	
VIME_HUMAN	2	3	2			2					2	3
ATAD5_HUMAN							2		4	4		2
TP53B_HUMAN		2				3	3	2	3	4	4	
S31D4_HUMAN							3		2		3	
TTL10_HUMAN										3	3	
GFAP_HUMAN	2		2	3	4	2	3	2	2	3	2	
ZDHC1_HUMAN				2								
ROCK1_HUMAN				2								3
PCDA6_HUMAN					2							3
KCNV2_HUMAN								2				
ACACA_HUMAN	3			3				3				3
SPTB2_HUMAN				7	4	7	4	7	4	5	5	5
M4K4_HUMAN					4		4		4			
NEBU_HUMAN				4	4	4	4	3	2	4		3
UN13C_HUMAN				4	2		3		4	4	3	3
MYH2_HUMAN						2	4	4	3			5
MYH1_HUMAN	3	3		6		2	4		3	4		5
PEX1_HUMAN										2		
TM232_HUMAN					2	2	2			1		
CPNE7_HUMAN									2			
SYNRG_HUMAN									2			
DIDO1_HUMAN		2					3		3			2
ZNFX1_HUMAN								3	2	1		2
RM23_HUMAN					1	1	1	1	1	1		
IBTK_HUMAN				2		2					2	2
CNOT3_HUMAN											2	
IBP3_HUMAN				2								
COOA1_HUMAN				2								
AL1A1_HUMAN				2								2
TOPB1_HUMAN				2				2				2
PERM_HUMAN					3						2	2
G6PC_HUMAN					2							
MON2_HUMAN			2	3	2				3	1	2	
ABC3A_HUMAN						2						
ENTP5_HUMAN						2						
RUXGL_HUMAN	2	2		1		1	3		3	1		
RUXG_HUMAN	2	2		1		1	3		3	1		
AL2SB_HUMAN				2								
FR1L5_HUMAN				2	2					3		
RBMS2_HUMAN										1		
RBNS5_HUMAN							2					
AHNK2_HUMAN				3	5	6	3	2	2	3	6	6
DTX3L_HUMAN							2					
ITIH2_HUMAN							2					
SAC2_HUMAN			3				2					2
HEM3_HUMAN												2
TCPA_HUMAN												2
POK7_HUMAN									2			
ASPD_HUMAN									2			
ZEP2_HUMAN						3			2			3
NGAP_HUMAN				3	2	3			2	3	3	2
NUCB1_HUMAN				2						3		3
MUC5B_HUMAN				3		2						
GARE2_HUMAN				2	3	2						
NPAT_HUMAN				3								
TIAM2_HUMAN			2	2				3	4		2	2
PEG3_HUMAN											2	
ZN438_HUMAN											2	
PIM3_HUMAN											2	
VPS54_HUMAN				3								
U2AFL_HUMAN				2								
CUL7_HUMAN				2								
TRI41_HUMAN				2								
TCPR2_HUMAN				2							2	
UBE3C_HUMAN				2								
CASP5_HUMAN				2								
IQGA3_HUMAN				2								
SCNBA_HUMAN				2		2						
NEK10_HUMAN								2				
CDAN1_HUMAN				2	5	2		2		4	2	4
YD021_HUMAN	2		2							3	2	
PMS1_HUMAN				2							2	3
AFAM_HUMAN					2							
FBH1_HUMAN					3							
PRDM1_HUMAN					2	2					2	
KS6A6_HUMAN									2			
CGNL1_HUMAN							2		2			
ANTR2_HUMAN								2				
KI21B_HUMAN	3			3			2	2	2		2	3
BMX_HUMAN	3			2			2					
ARGL1_HUMAN											2	
HNRL2_HUMAN										1	1	1
S12A3_HUMAN				2								
RFX5_HUMAN				2								
GCC1_HUMAN				2	2				2	2		2
EYS_HUMAN							2					
BRCA2_HUMAN					2	4	2	2		3	2	3
SMTL2_HUMAN									2			
ATR_HUMAN								2	2	3		
KIF7_HUMAN	3	4							2	2	2	
CC130_HUMAN	2											2
STAB2_HUMAN											2	
NDK7_HUMAN												1
WNK2_HUMAN				2								
MAP1A_HUMAN				4			3		3			2
VGFR3_HUMAN											1	1
41_HUMAN											1	
MYO16_HUMAN					3					3	1	
S31C1_HUMAN										2		
S31A6_HUMAN						2				2		
S31A3_HUMAN						2						
S31A1_HUMAN						2				2		
S31A5_HUMAN										2		
VPS18_HUMAN										3		
NFL_HUMAN						2		2				2
RM03_HUMAN									1	1		1
DOCK6_HUMAN	2	2	2	3	3	2	3	2	5	2	4	
GSE1_HUMAN				3					2			3
MYO10_HUMAN				4						5	6	3
TTF1_HUMAN									2	4		
RECQ5_HUMAN				2								3
NSA2_HUMAN									2	2	3	1
PAB4L_HUMAN				3						4		
H15_HUMAN				3	2	2			3			
CB078_HUMAN									2			
THADA_HUMAN				3				2	2	4		3
PCDBE_HUMAN				2								
SBNO1_HUMAN							2					
GRM1C_HUMAN			2	2			2					
CXCL2_HUMAN								2				
DYH9_HUMAN	3	3	2	6	7	3	6	3	5	4	9	6
TEC_HUMAN	3											
MPP9_HUMAN								2				2
BICD1_HUMAN							2		2			2
ESPN_HUMAN												2
PIGS_HUMAN									2			2
ETFD_HUMAN						2						
RUSD2_HUMAN					2	2	2		2			2
XRCC3_HUMAN												2
CTR9_HUMAN					2							
CAMP2_HUMAN					2	2			3			
RL36_HUMAN					2							
CDCA2_HUMAN					2							
TEX2_HUMAN	3				2							2
CLH1_HUMAN				3						3		
ABCC8_HUMAN										3		
ZN827_HUMAN						2	2		2	2	3	2
TLR6_HUMAN							2					
ATL2_HUMAN							2					
IGF1R_HUMAN							2					
NCAN_HUMAN							2					
BAZ2B_HUMAN		2		2	3	2	2	2		3		
SNX14_HUMAN										2		
PSA_HUMAN												2
KRIT1_HUMAN				2								
PK3CD_HUMAN				2								
PLCH2_HUMAN				2		2			2			
WDR63_HUMAN				2								
TPC_HUMAN				2								
ESYT1_HUMAN				2								
ZN287_HUMAN				2								
MXRA5_HUMAN	3			2	3					3		2
UCHL3_HUMAN							2					
RT09_HUMAN							2					
DGKI_HUMAN							2					
POLH_HUMAN							2					
SFI1_HUMAN				2			2					
MCCA_HUMAN	2			2								
PTC2_HUMAN											2	
SMUF1_HUMAN											2	
ELMO1_HUMAN											2	
MF2L2_HUMAN				2	4						2	
DOP1_HUMAN						2					2	
EFHB_HUMAN						3					2	
LAMA3_HUMAN				2		3					2	
FGFR2_HUMAN											2	
NF2L3_HUMAN											2	
TS1R2_HUMAN											2	
SIK2_HUMAN												2
STPAP_HUMAN							2	2				2
ERBB3_HUMAN						2			2			2
PCDGG_HUMAN												2
SMCA4_HUMAN							3					2
CHD9_HUMAN	3					2	2				2	2
ANS1B_HUMAN	3											
SIG12_HUMAN						2						
MBTD1_HUMAN				2		2						
DESM_HUMAN	2			2								
LRMP_HUMAN	2											
SALL3_HUMAN					2						3	
T200B_HUMAN												2
STAR8_HUMAN												2
KCNK5_HUMAN												2
CD158_HUMAN							2				4	2
NALCN_HUMAN					4	3					3	4
TCPE_HUMAN											3	
GOGB1_HUMAN	3	4		4			2	3			3	4
MED12_HUMAN	3		4	2			3	2				
EIF3C_HUMAN				7	5	6	9	6	6	9	9	10
EIFCL_HUMAN				7	5	6	9	6	6	9	9	10
RS15_HUMAN				10	7	7	6	6	5	5	6	6
HNRPL_HUMAN				4	3	5	2	6	2	9	9	7
EF2_HUMAN				9	6	8	8	7	9	13	8	13
NOP14_HUMAN	3	2	3	4	8	9	5	9	9	10	12	10
TRA2B_HUMAN								2				
USP9Y_HUMAN				6				3			3	5
USP9X_HUMAN				6	4	3		3		4	3	
LBP_HUMAN					2							
GUF1_HUMAN					2				2	3		
ERBB4_HUMAN							4					
CKAP5_HUMAN					6	3	3	4	2	3		3
KIF5C_HUMAN										3		
CAC1C_HUMAN			3				2	3		4	3	
PGAM2_HUMAN						2		2				
WDR35_HUMAN						2	2					
VP13B_HUMAN				2		3	2	4	3	3		4
