Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
MCE1_HUMAN									2			
TCOF_HUMAN				15	11	15	4		2	17	19	16
K2C6B_HUMAN	16	14	14	17	16	12	10	10	11	13	17	13
SRSF5_HUMAN				3	2		1	1	1		4	2
PCBP3_HUMAN				5								
ACTB_HUMAN				6	3	5	4	6	4	3	3	5
ACTG_HUMAN				6	3	5	4	6	4	3	3	5
AQR_HUMAN				1			2					
NUTM1_HUMAN				1	4							
RON_HUMAN				1								
TBRG4_HUMAN				1						6	3	2
K1C17_HUMAN	14	11	14			11		7		8		
NUCL_HUMAN				132	135	135	119	110	108	191	188	184
RRP5_HUMAN	16	17	18	73	79	65	45	51	49	77	95	92
K1C15_HUMAN	13	10	11			7	7	6	10	8	6	5
DDX24_HUMAN						5				8	8	8
TRIM8_HUMAN								2				
UBAP2_HUMAN								2		6	4	7
NSUN5_HUMAN				5	6	5			2	8	4	7
RL23A_HUMAN				6	2	3	3	4	4	3	7	4
K1C13_HUMAN	12	8	11	7	4	4	9	6	10	7	8	6
BYST_HUMAN				5	4	2	4	5	4	6	8	5
CALR3_HUMAN						3						
ANKH1_HUMAN			2	2	6	2	2		4	7	4	4
PLCG2_HUMAN						3						
DDX31_HUMAN		2			2	1				5	4	3
K2C3_HUMAN	11	9	7	12	13	11	7	9	7	9	10	10
AHNK_HUMAN				22	20	27	24	27	20	51	55	51
HNRPC_HUMAN				31	27	31	21	24	20	33	33	31
BMS1_HUMAN				25	23	21	21	14	14	24	27	28
CSDE1_HUMAN				27	22	26	19	19	18	30	34	31
YBOX3_HUMAN				22	20	19	17	16	16	17	21	21
KI67_HUMAN				23	23	22	20	15	17	36	45	47
HNRPM_HUMAN				23	23	20	22	22	21	32	32	34
RL4_HUMAN	7	9	8	33	28	27	25	21	21	36	40	39
RM43_HUMAN	5	6	6	3	4	5	6	5	6	1	2	3
K2C79_HUMAN	6	7	7	12	9	6	6			10	10	8
MK67I_HUMAN					2	1				3	3	2
RL24_HUMAN				5	5	3	5	5	3	5	7	6
SRSF4_HUMAN							1	1	1			
SRSF6_HUMAN				3	3	3	1	1	1	4		3
H2A1J_HUMAN				4	4		4	4	5	4	4	4
H2A1H_HUMAN				4	4		4	4	5	4	4	4
H2A2C_HUMAN				4	4		4	4	5	4	4	4
H2AJ_HUMAN				4	4		4	4	5	4	4	4
H2A1D_HUMAN				4	4		4	4	5	4	4	4
H2A1_HUMAN				4	4		4	4	5	4	4	4
H2A2A_HUMAN				4	4		4	4	5	4	4	4
RL13_HUMAN				5	4	5	6	6	7	8	7	8
K1C19_HUMAN	8	8	8		8			6	6	8		
K2C1B_HUMAN		5	5	5	6	4	7	6	5	5	5	10
RL27_HUMAN				6	8	2	4	7	6	6	7	6
ROA0_HUMAN				2		4	2	3	3	5	6	7
ACTBM_HUMAN						3						
RRBP1_HUMAN				3	8	8		4	2	12	10	11
H2B2E_HUMAN					6		9	10	9			
H2B1O_HUMAN					6		9	10	9			
H2B1B_HUMAN					6		9	10	9			
H2B1J_HUMAN					6		9	10	9			
RS8_HUMAN				6	6	5	5	6	3	6	5	5
PTBP3_HUMAN									9	15	9	15
RS17_HUMAN				2	2	3						
K1C20_HUMAN				3				2	4			
FUBP1_HUMAN				4	5		7		7	9	8	6
TRI25_HUMAN					3	3	3			6	4	5
CELF1_HUMAN				5	5	6	3	4	4	7	9	9
ELAV4_HUMAN					5	6		5				
TDIF2_HUMAN					7		2	4	2	9	8	9
RL31_HUMAN				9	6	6	7	6	5	6	6	4
LA_HUMAN				7	9	9	5	4	3	7	8	7
NU155_HUMAN			2									
PARP1_HUMAN			2	4	4	6	8	6	6	8	7	9
ROAA_HUMAN				5	5	4	3	3	3	4	4	4
HNRH3_HUMAN				6	3	4	4	3	3	5	5	6
PURA_HUMAN				1	2					4	3	
RBM34_HUMAN				3	4	6	3	4		8	9	7
NOL11_HUMAN					3	3				6	4	5
GRP1_HUMAN						2						
ABCF1_HUMAN					2	2		2		7	6	3
RSSA_HUMAN				2	4	2	3	4	5	5	6	4
ZCCHV_HUMAN				4	2	8		2		6	8	5
RA1L2_HUMAN								9				
PCBP2_HUMAN				5	7	4	5	4	4	5	7	6
RL29_HUMAN				5	5	8	10	9	8	6	6	5
HMX3_HUMAN				4	4	5	5	6	7	8	8	4
K2C75_HUMAN			8		8	6	6			9		
ANO7_HUMAN								2				
NRP1_HUMAN									1			
MMP23_HUMAN									1			
SSF1_HUMAN				7	5	4		2	1	7	9	7
NOP16_HUMAN				3	3	6	4		3	5	6	4
EMC1_HUMAN				2								
KSYK_HUMAN				2								
CTF18_HUMAN				2	2							
POP1_HUMAN				1	3	2	1	2	3	4	8	6
RL18_HUMAN				6	7	5	5	3	5	4	4	6
K22O_HUMAN	8	8	9	8	8	7	7		5	7	9	7
STAU1_HUMAN		2		3						8	8	10
H2B1H_HUMAN						6	9					
H2B2F_HUMAN						6	9					
H2B1N_HUMAN						6	9					
H2B1L_HUMAN						6	9					
H2B1C_HUMAN						6	9					
H2B1K_HUMAN						6	9					
H2B1M_HUMAN				8	7	6	9	11	9	5	4	4
RS26_HUMAN				4	3	3	4	4	2	4	2	3
SPS2L_HUMAN				1	3	1			2	5	4	7
NOC3L_HUMAN				5	3	2		2		6	8	8
EMAL4_HUMAN												3
IRAK3_HUMAN				3								
RT11_HUMAN					2				2			
NLRP1_HUMAN				5	2				2			3
PRC2A_HUMAN				6						7	4	3
KBL_HUMAN												2
KRT86_HUMAN				6	2	2				4	6	2
KRT81_HUMAN				6	2	2				4	6	2
NCK5L_HUMAN					4							
PESC_HUMAN				5	3	6	3		5	10	11	10
DDX10_HUMAN					3		2			4	4	3
SMD2_HUMAN	3	4	3	3	3	3	5	6	6	4	4	3
DDX21_HUMAN				37	34	27	25	26	27	48	50	54
YBOX1_HUMAN	3			28	27	26	21	21	23	29	29	31
PAP1L_HUMAN					5	5	6	4	5		4	
K2C8_HUMAN		8		9	8						6	7
RSMB_HUMAN				5	5	5	4	3	3	4	5	4
RSMN_HUMAN						5	4	3		4		4
BTF3_HUMAN				6		1	2	1			1	
GDIB_HUMAN											1	
RB_HUMAN								2	2		1	2
CFA43_HUMAN					1							
TAP26_HUMAN				3	1	1	2	3	3	4	1	3
RBM3_HUMAN				2	4	3	2	1	2			
ACTBL_HUMAN				2				3				
ATL3_HUMAN						3						
NSUN2_HUMAN				4		2		2		6	6	5
HS90B_HUMAN					5	2		2	4	2	3	3
HS90A_HUMAN						2	3	2	4	2	5	3
K1C27_HUMAN		5										
TRY1_HUMAN	6	5	6	4	5	4	3	4	4	4	2	3
G3BP1_HUMAN				7	8	8	4	6	7	10	12	11
SFPQ_HUMAN				8	11	10	3	4	5	12	18	16
EIF3A_HUMAN				10	7	10	3	6		19	21	14
RL7_HUMAN	5	5	3	16	20	20	17	17	14	20	22	19
S12A7_HUMAN				3							5	
K1C12_HUMAN	5	5	4	3	4	4	4	2	5	3	2	2
SMD3_HUMAN	3	3	4	3	3	5	4	3	3	2	3	2
K1C26_HUMAN	5	5										
CARD9_HUMAN			2									
GOGA1_HUMAN			2									
K1C23_HUMAN	6	3	2					2	2			
DKC1_HUMAN				2	1					3	2	2
RL19_HUMAN				6	10	8	8	4	5	5	5	6
ESRP1_HUMAN				4		2		2		3	4	5
K2C7_HUMAN	5	6	5	9	6	3	4			8	4	5
PPRC1_HUMAN		3				1						
RL40_HUMAN	4	1	2	6		5			6			
RS6_HUMAN				8	7	7	9	9	7	6	11	10
H2B1A_HUMAN							6		7			
FBRL_HUMAN				9	8	7	5	5	6	5	10	12
RBMX_HUMAN				5	2	2	8	7	6	7	5	9
RS27A_HUMAN	4	1	2	6	9	5	6	4	6	7	9	8
UBB_HUMAN	4	1	2	6		5						
UBC_HUMAN	4	1	2	6		5						
TRY3_HUMAN	6											
RL28_HUMAN					3	3	3	3				
K2C78_HUMAN		5	4	6	4	4	5			8	4	5
RMXL2_HUMAN							3		3	4		3
JPH4_HUMAN					2							
TACC1_HUMAN					2							
SENP6_HUMAN					2							
UTP18_HUMAN				2	1					4	2	4
SRSF7_HUMAN				4	3	5	2	3	2	3	3	1
RS18_HUMAN				2	2	3	4	5	4	4	4	2
UBE3B_HUMAN						2						
MDGA1_HUMAN				2		2						
RACK1_HUMAN				1				1		2	2	2
HNRDL_HUMAN				4	5	2	3	2	2	5	6	5
K2C71_HUMAN				6			5	6	3	6		
ELN_HUMAN						4	6			7	7	5
RRS1_HUMAN				2		3	7	3	5	6	5	4
CX067_HUMAN							2					
XRN2_HUMAN							2			4		5
ANPRB_HUMAN							2					
RM41_HUMAN				2	2	3	1			2	1	1
RL35_HUMAN				3	4	3	3	3	2	3	2	3
ANFY1_HUMAN					3							
BIRC6_HUMAN		2		6	2	4	3	7	4	9	9	11
NOM1_HUMAN				2		3				6	3	3
RT05_HUMAN				2						3	2	2
NOP9_HUMAN				1						2	4	5
KT222_HUMAN				2								
SMC1A_HUMAN				3		2	2	2	2		3	5
THMS1_HUMAN						2	3					
BBX_HUMAN								3				
MYPC1_HUMAN								2				
TNC18_HUMAN		2	3	9	4	3	4	3	2			6
COEA1_HUMAN				3		3	4					4
CC124_HUMAN												2
RS10L_HUMAN									3			
HECW1_HUMAN				3		2	3		4		3	4
LYRIC_HUMAN				2	4	2	3	3	3	2	2	3
S10A9_HUMAN				3	2	1						
HECD4_HUMAN			2	6	5	4	6	8	5	9	5	5
KRT84_HUMAN	5		5	5	5	3	4		2	5		
K1C28_HUMAN		6	5						4			
RS26L_HUMAN				4								
TRY2_HUMAN			5	4	5	4	3		4			
H4_HUMAN	3	4	4	11	10	10	8	9	8	5	6	5
RL1D1_HUMAN				27	30	32	26	26	23	35	38	40
NPM_HUMAN	3	4	4	31	32	36	36	31	36	30	35	38
G3BP2_HUMAN					4	3			3	6	3	7
TITIN_HUMAN	10	34	12	37	23	24	25	34	29	27	31	31
RL26_HUMAN				10	10	10	11	10	11	10	12	13
WDR75_HUMAN				8	4	7		2		8	8	9
AL3A2_HUMAN					2	5	5	4	3	7	7	6
IF16_HUMAN						2				7	5	4
HNRPD_HUMAN				4	5	7	5	5	6	8	10	7
XRCC5_HUMAN	6	2	2	8	8	10	4	3	4	9	11	10
MAGI3_HUMAN				4		2	2			5		
CE126_HUMAN		2		2		2		2	2		2	4
RS23_HUMAN				2		1		1	2	1	1	
MYO1B_HUMAN							4	2		4		
NUCB2_HUMAN												3
SRGP3_HUMAN						4			3	4		3
TRIPB_HUMAN	5	5	4	5	4	4	3	4	6	4	5	6
K2C74_HUMAN	3	6	6			4						
RS14_HUMAN					2	4	1	2	2	2		3
ZC11A_HUMAN	5	4	3	4	3	3	3	3	5	5	4	3
CIP2A_HUMAN											4	
SMHD1_HUMAN				4	2	2		3	3	3	3	4
INT4_HUMAN			4						3			
DYH8_HUMAN	4	4	3	4	6	3	2	4	3	4	5	5
DYH7_HUMAN	5	4	3	4	4	5	4	6	5	7	5	5
TRAP1_HUMAN					2		2		2			
DYST_HUMAN	6	4		8	6	9	9	8	10	9	13	15
ZN142_HUMAN				2	2					3		
DCA10_HUMAN										2		
SRGP2_HUMAN										2		3
GFOD1_HUMAN				2						2		
PAN3_HUMAN										3		
FAK1_HUMAN										3		
SCFD2_HUMAN										2		
BRX1_HUMAN				4	3	3		2	3	2	4	6
CLIC2_HUMAN										2		
BFSP2_HUMAN											2	
HD_HUMAN						3					3	2
ARHG1_HUMAN										2	2	
GRM3_HUMAN										2		
TCRG1_HUMAN										2		
TTC34_HUMAN				2								
DAZP1_HUMAN				1								1
HES6_HUMAN												2
PHRF1_HUMAN				2		2						2
ACACB_HUMAN						3	3			2		2
MOCOS_HUMAN												2
PYGM_HUMAN												2
APC_HUMAN				2		1	3		2			
RPGF2_HUMAN				3			2	3				
ANR50_HUMAN				2	3						2	2
Z280C_HUMAN				2	2							
IQEC3_HUMAN				2								2
CONA1_HUMAN							2				2	2
AGO1_HUMAN											2	
ZBT12_HUMAN												2
H1FOO_HUMAN											2	2
NFKB2_HUMAN												2
IPO9_HUMAN				2		2						
EP300_HUMAN									2			
ARI5B_HUMAN				3					2			
RT63_HUMAN				1								1
SATB2_HUMAN				2								
RS25_HUMAN				1	2		2	3	2	2	1	1
CENPI_HUMAN										2		
SC16B_HUMAN					3		4					
CENPF_HUMAN	6	5	3	7	4	5	4	6	3	2	5	5
SH2D3_HUMAN							4					
WASH7_HUMAN							4					3
RUXE_HUMAN	2	2		3	3	2	2	4	2	2	2	1
FBLL1_HUMAN								2	2			
MYO7A_HUMAN				5	4		3	3		4	3	
ZN326_HUMAN												1
AGRF4_HUMAN	3	3	3			4				4	4	5
CCD13_HUMAN											2	
BEND3_HUMAN											2	
