Accession Number	NonStarved_A	NonStarved_B	Starved_A	Starved_B	Insulin_A	Insulin_B
P84103|SRSF3_HUMAN	13	11	13	17	10	11
P02786|TFR1_HUMAN	13	12	7	8	8	2
Q86Y46|K2C73_HUMAN	13	9	5	1	4	5
P13639|EF2_HUMAN	12	11	14	8	16	11
P07237|PDIA1_HUMAN	12	21	18	16	13	14
P07437|TBB5_HUMAN	12	20	21	14	20	14
Q16629|SRSF7_HUMAN	12	20	16	17	20	16
Q99729|ROAA_HUMAN	12	8	6	8	7	7
P31483|TIA1_HUMAN	12	24	18	18	13	11
P07355|ANXA2_HUMAN	11	16	16	20	15	20
Q12906|ILF3_HUMAN	11	20	14	16	14	14
Q9Y4C8|RBM19_HUMAN	11	15	12	11	8	15
Q6UVK1|CSPG4_HUMAN	11	6	14	18	8	6
Q01105|SET_HUMAN	11	7	8	13	12	12
P14625|ENPL_HUMAN	11	13	12	16	13	8
P62280|RS11_HUMAN	11	8	5	8	1	6
Q86V81|THOC4_HUMAN	11	10	10	9	1	3
P62841|RS15_HUMAN	11	13	2	7	6	3
Q8WXF1|PSPC1_HUMAN	11	15	8	6	3	9
Q13247|SRSF6_HUMAN	10	13	22	15	8	11
Q13740|CD166_HUMAN	10	13	19	15	15	13
Q00610|CLH1_HUMAN	10	9	10	12	10	9
P26368|U2AF2_HUMAN	10	8	10	6	6	3
Q15084|PDIA6_HUMAN	10	9	6	6	14	8
Q13595|TRA2A_HUMAN	10	9	8	6	8	7
P98179|RBM3_HUMAN	10	8	4	1	3	6
Q9BVJ6|UT14A_HUMAN	10	6	4	4	5	5
P26006|ITA3_HUMAN	9	10	18	20	13	16
B5ME19|EIFCL_HUMAN (+1)	9	16	13	13	24	19
Q14152|EIF3A_HUMAN	9	17	17	15	9	9
P09429|HMGB1_HUMAN	9	9	9	12	14	13
Q4G0J3|LARP7_HUMAN	9	9	7	11	7	10
Q8NE71|ABCF1_HUMAN	9	7	10	5	15	8
Q15269|PWP2_HUMAN	9	10	6	5	2	4
P68371|TBB4B_HUMAN	9	9	0	10	17	16
P02751|FINC_HUMAN	8	15	21	27	10	10
Q07955|SRSF1_HUMAN	8	7	9	8	6	10
Q9HCE1|MOV10_HUMAN	8	7	6	11	7	11
Q15056|IF4H_HUMAN	8	13	6	5	2	4
Q12849|GRSF1_HUMAN	8	5	3	10	8	5
O95232|LC7L3_HUMAN	8	8	3	9	7	8
P39023|RL3_HUMAN	8	3	3	4	6	5
P07195|LDHB_HUMAN	8	3	5	3	6	5
P46781|RS9_HUMAN	8	2	2	4	2	3
Q02543|RL18A_HUMAN	8	4	1	0	3	3
Q13242|SRSF9_HUMAN	8	4	0	3	0	2
P07477|TRY1_HUMAN	8	14	12	8	7	6
Q2M2I5|K1C24_HUMAN	8	6	2	0	0	0
Q9Y2W1|TR150_HUMAN	7	2	15	16	15	10
P35637|FUS_HUMAN	7	8	7	7	13	6
Q9Y2X3|NOP58_HUMAN	7	9	13	4	7	7
P17480|UBF1_HUMAN	7	7	8	9	6	6
P16070|CD44_HUMAN	7	6	15	14	9	9
P10809|CH60_HUMAN	7	10	4	9	8	7
Q01844|EWS_HUMAN	7	10	3	3	10	2
P22087|FBRL_HUMAN	7	7	5	6	5	7
P46087|NOP2_HUMAN	7	4	0	4	4	4
P62081|RS7_HUMAN	7	3	2	5	2	5
Q7L2E3|DHX30_HUMAN	7	6	0	1	3	2
P0DMV8|HS71A_HUMAN (+1)	7	10	12	12	7	9
Q9P2E9|RRBP1_HUMAN	6	7	11	17	26	16
P14618|KPYM_HUMAN	6	15	12	16	12	7
O76021|RL1D1_HUMAN	6	11	9	8	11	13
Q9Y383|LC7L2_HUMAN	6	6	12	17	15	16
Q14671|PUM1_HUMAN	6	8	8	9	6	3
Q00341|VIGLN_HUMAN	6	7	8	5	9	7
Q12905|ILF2_HUMAN	6	6	10	6	10	7
O00299|CLIC1_HUMAN	6	10	8	6	3	8
P62263|RS14_HUMAN	6	6	4	1	5	4
Q06830|PRDX1_HUMAN	6	5	2	5	5	4
Q9BWF3|RBM4_HUMAN	6	5	4	1	4	7
P62805|H4_HUMAN	6	5	10	7	4	3
Q92541|RTF1_HUMAN	6	3	4	1	1	1
Q5BKZ1|ZN326_HUMAN	6	7	1	1	6	4
O75822|EIF3J_HUMAN	6	6	3	3	3	1
Q9Y6M1|IF2B2_HUMAN	6	4	4	1	5	3
P07478|TRY2_HUMAN	6	8	6	3	5	5
P08708|RS17_HUMAN	6	4	0	0	0	0
P35659|DEK_HUMAN	5	15	16	13	18	19
Q9Y520|PRC2C_HUMAN	5	9	9	6	11	7
Q14444|CAPR1_HUMAN	5	9	5	7	6	11
Q9UHX1|PUF60_HUMAN	5	7	1	4	11	4
Q96KR1|ZFR_HUMAN	5	5	1	3	6	8
P11586|C1TC_HUMAN	5	2	4	2	4	6
Q8N7H5|PAF1_HUMAN	5	4	5	7	6	0
P62847|RS24_HUMAN	5	7	7	0	3	4
Q15427|SF3B4_HUMAN	5	9	4	7	3	3
O00592|PODXL_HUMAN	5	3	5	10	3	2
Q9BXP5|SRRT_HUMAN	5	0	0	4	5	5
P08865|RSSA_HUMAN	5	5	4	0	4	5
P25705|ATPA_HUMAN	5	2	0	3	6	2
O75821|EIF3G_HUMAN	5	6	4	4	3	1
P62995|TRA2B_HUMAN	5	9	9	3	5	5
P62277|RS13_HUMAN	5	7	5	0	8	4
Q12926|ELAV2_HUMAN	5	6	8	6	3	1
Q9UKA9|PTBP2_HUMAN	5	9	6	9	3	8
Q13268|DHRS2_HUMAN	5	5	0	1	3	0
P62937|PPIA_HUMAN	5	1	2	0	0	2
Q15758|AAAT_HUMAN	5	3	1	0	0	0
P38646|GRP75_HUMAN	4	3	10	1	3	4
Q01130|SRSF2_HUMAN	4	9	12	13	5	8
P08195|4F2_HUMAN	4	6	7	10	6	10
P62701|RS4X_HUMAN	4	5	3	2	5	5
P05026|AT1B1_HUMAN	4	4	9	1	3	6
P04792|HSPB1_HUMAN	4	2	2	3	4	4
Q13243|SRSF5_HUMAN	4	5	11	3	3	4
O95218|ZRAB2_HUMAN	4	1	3	1	2	1
P12814|ACTN1_HUMAN	4	0	0	0	1	0
P60866|RS20_HUMAN	4	0	2	2	3	0
O75494|SRS10_HUMAN	4	1	3	0	0	0
P23528|COF1_HUMAN	4	2	0	0	0	0
P12956|XRCC6_HUMAN	3	7	3	5	5	8
P48634|PRC2A_HUMAN	3	4	1	0	4	6
P62753|RS6_HUMAN	3	5	5	3	3	3
Q14690|RRP5_HUMAN	3	1	0	5	4	4
P50990|TCPQ_HUMAN	3	4	3	0	4	1
P62854|RS26_HUMAN	3	7	10	4	5	4
O00622|CYR61_HUMAN	3	7	3	6	3	6
Q07020|RL18_HUMAN	3	2	0	1	0	1
P62899|RL31_HUMAN	3	7	6	8	4	5
P62241|RS8_HUMAN	3	2	2	2	2	3
P63104|1433Z_HUMAN	3	5	2	5	2	2
P61353|RL27_HUMAN	3	8	5	5	2	3
P50914|RL14_HUMAN	3	2	3	1	3	2
Q15287|RNPS1_HUMAN	3	4	6	4	4	4
Q05519|SRS11_HUMAN	3	1	7	8	2	0
P60842|IF4A1_HUMAN	3	6	1	2	5	4
Q9NUQ6|SPS2L_HUMAN	3	0	1	5	2	4
P83731|RL24_HUMAN	3	3	3	2	2	2
P39019|RS19_HUMAN	3	2	2	1	3	4
P00338|LDHA_HUMAN	3	5	2	0	1	0
P55884|EIF3B_HUMAN	3	4	0	0	2	5
P62249|RS16_HUMAN	3	3	2	3	3	0
Q8NCA5|FA98A_HUMAN	3	6	1	0	2	2
P84098|RL19_HUMAN	3	0	1	4	3	3
O00203|AP3B1_HUMAN	3	0	3	2	2	0
Q08J23|NSUN2_HUMAN	3	1	1	3	1	0
P09382|LEG1_HUMAN	3	0	1	1	1	6
Q9UN86|G3BP2_HUMAN	3	3	0	2	2	2
Q92900|RENT1_HUMAN	3	4	2	2	0	0
Q9BYD6|RM01_HUMAN	3	4	1	0	0	1
Q15434|RBMS2_HUMAN	3	0	2	1	2	0
Q71RC2|LARP4_HUMAN	3	3	0	0	0	0
P46783|RS10_HUMAN	3	4	0	4	1	0
Q14533|KRT81_HUMAN	3	5	0	0	2	0
Q9H0S4|DDX47_HUMAN	3	0	0	0	0	0
Q9UNN8|EPCR_HUMAN	3	0	3	1	1	1
P46778|RL21_HUMAN	3	0	0	0	0	0
P09211|GSTP1_HUMAN	3	0	0	0	0	0
Q7Z2W4|ZCCHV_HUMAN	2	5	7	2	6	8
Q8IVF2|AHNK2_HUMAN	2	1	2	2	0	0
Q15424|SAFB1_HUMAN	2	2	6	6	9	10
Q96GQ7|DDX27_HUMAN	2	6	6	11	4	8
Q07065|CKAP4_HUMAN	2	8	7	5	3	2
Q9BTT0|AN32E_HUMAN	2	5	9	3	8	5
